case,status,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,length_target,length_penalty,gc_target_fraction,gc_penalty,mi_reward_scale,mi_score_mode,overlap_gc_method,backend,seed,energy,true_path_available,true_path_energy,energy_gap,ground_hit,valid_edge_path,single_path_layout,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,hard_violation,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,ok,35,all,131,131,8515,1000.0,20000.0,0.0,0.49615,0.0,0.0,mi,average,builtin,40,1000.0,True,0.0,1000.0,False,False,False,33,1,0,0,1,16,17,0,2.0955443609999946,2.1003319600000054
2,ok,35,all,131,131,8515,1000.0,20000.0,0.0,0.49615,0.0,0.0,mi,average,builtin,41,1000.0,True,0.0,1000.0,False,False,False,34,0,1,0,1,12,22,0,2.0472932750000012,2.0516745749999927
3,ok,35,all,131,131,8515,1000.0,20000.0,1e-06,0.49615,0.0,0.0,mi,average,builtin,40,6380.25,True,0.0,6380.25,False,False,False,34,0,3,3,6,13,21,0,2.092282675000007,2.1028568750000005
4,ok,35,all,131,131,8515,1000.0,20000.0,1e-06,0.49615,0.0,0.0,mi,average,builtin,41,5676.0,True,0.0,5676.0,False,False,False,34,0,3,2,5,13,21,0,2.0969821740000043,2.1016427739999983
5,ok,35,all,131,131,8515,1000.0,20000.0,1e-05,0.49615,0.0,0.0,mi,average,builtin,40,8890.0,True,0.0,8890.0,False,False,False,34,0,3,3,6,14,20,0,2.0834910680000007,2.0884646680000003
6,ok,35,all,131,131,8515,1000.0,20000.0,1e-05,0.49615,0.0,0.0,mi,average,builtin,41,9422.5,True,0.0,9422.5,False,False,False,34,0,3,3,6,15,19,0,2.1209295630000042,2.125850761999999
