case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,75.0,75.0,30.0,20.0,default,36,-152.0,-300.0,148.0,True,0,0,6,9,55,7.57131285899959,7.5732226590007485
2,ok,openjij-sqa,75.0,75.0,30.0,25.0,default,36,-195.0,-375.0,180.0,True,0,0,3,12,30,5.247277886999655,5.266070586998467
3,ok,openjij-sqa,75.0,75.0,30.0,30.0,default,36,-252.0,-450.0,198.0,True,0,0,7,8,27,5.216114897999432,5.219066597999699
4,ok,openjij-sqa,75.0,75.0,30.0,35.0,default,36,-302.0,-525.0,223.0,True,0,0,10,5,52,5.180709799000397,5.1834273990007205
5,ok,openjij-sqa,75.0,75.0,30.0,40.0,default,36,-366.0,-600.0,234.0,True,0,0,10,5,72,5.123620997999751,5.126850398000897
6,ok,openjij-sqa,75.0,75.0,40.0,20.0,default,36,-140.0,-300.0,160.0,True,0,0,8,7,28,5.089503598999727,5.092452099001093
7,ok,openjij-sqa,75.0,75.0,40.0,25.0,default,36,-210.0,-375.0,165.0,True,0,0,8,7,34,5.125729379000404,5.128236978998757
8,ok,openjij-sqa,75.0,75.0,40.0,30.0,default,36,-344.0,-450.0,106.0,True,0,0,9,6,15,5.161427973000173,5.179152773000169
9,ok,openjij-sqa,75.0,75.0,40.0,35.0,default,36,-352.0,-525.0,173.0,True,0,0,4,11,39,5.1250658680000925,5.127725667998675
10,ok,openjij-sqa,75.0,75.0,40.0,40.0,default,36,-432.0,-600.0,168.0,True,0,0,7,8,30,5.146364287000324,5.149796387000606
11,ok,openjij-sqa,75.0,75.0,50.0,20.0,default,36,-174.0,-300.0,126.0,True,0,0,3,12,35,5.102332492999267,5.1051172930001485
12,ok,openjij-sqa,75.0,75.0,50.0,25.0,default,36,-175.0,-375.0,200.0,True,0,0,7,8,39,5.405518994999511,5.408665994998955
13,ok,openjij-sqa,75.0,75.0,50.0,30.0,default,36,-242.0,-450.0,208.0,True,0,0,7,8,50,5.148026798000501,5.150572298000043
14,ok,openjij-sqa,75.0,75.0,50.0,35.0,default,36,-271.0,-525.0,254.0,True,0,0,4,11,31,5.1336918999986665,5.136648099998638
15,ok,openjij-sqa,75.0,75.0,50.0,40.0,default,36,-296.0,-600.0,304.0,False,0,2,8,7,66,5.70925420399908,5.711864004000745
16,ok,openjij-sqa,75.0,75.0,60.0,20.0,default,36,-108.0,-300.0,192.0,True,0,0,7,8,22,5.271377905999543,5.273882806000984
17,ok,openjij-sqa,75.0,75.0,60.0,25.0,default,36,-165.0,-375.0,210.0,True,0,0,9,6,9,5.152976205999948,5.156445505999727
18,ok,openjij-sqa,75.0,75.0,60.0,30.0,default,36,-156.0,-450.0,294.0,True,0,0,2,13,54,5.234944502000872,5.237773501999982
19,ok,openjij-sqa,75.0,75.0,60.0,35.0,default,36,-216.0,-525.0,309.0,True,0,0,3,12,24,5.395372008000777,5.398440008000762
20,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,36,-304.0,-600.0,296.0,True,0,0,5,10,59,5.222981610999341,5.226863510999465
21,ok,openjij-sqa,100.0,100.0,30.0,20.0,default,36,-68.0,-300.0,232.0,True,0,0,5,10,65,5.601179109000441,5.603815308999401
22,ok,openjij-sqa,100.0,100.0,30.0,25.0,default,36,-165.0,-375.0,210.0,True,0,0,8,7,14,5.3157783810002,5.318447880999884
23,ok,openjij-sqa,100.0,100.0,30.0,30.0,default,36,-276.0,-450.0,174.0,True,0,0,7,8,51,5.2687532489999285,5.271398748998763
24,ok,openjij-sqa,100.0,100.0,30.0,35.0,default,36,-397.0,-525.0,128.0,True,0,0,9,6,19,5.185422264999943,5.188075765001486
25,ok,openjij-sqa,100.0,100.0,30.0,40.0,default,36,-342.0,-600.0,258.0,True,0,0,8,7,58,5.265089422999154,5.267676923000181
26,ok,openjij-sqa,100.0,100.0,40.0,20.0,default,36,-140.0,-300.0,160.0,True,0,0,8,7,57,5.200041349000458,5.202579549000802
27,ok,openjij-sqa,100.0,100.0,40.0,25.0,default,36,-250.0,-375.0,125.0,True,0,0,8,7,26,5.316839475999586,5.320618975998514
28,ok,openjij-sqa,100.0,100.0,40.0,30.0,default,36,-274.0,-450.0,176.0,True,0,0,9,6,33,5.327905406000355,5.330942005999532
29,ok,openjij-sqa,100.0,100.0,40.0,35.0,default,36,-333.0,-525.0,192.0,True,0,0,9,6,21,5.41217412900005,5.414761928999724
30,ok,openjij-sqa,100.0,100.0,40.0,40.0,default,36,-408.0,-600.0,192.0,True,0,0,9,6,19,5.184260063999318,5.186747763998937
31,ok,openjij-sqa,100.0,100.0,50.0,20.0,default,36,-50.0,-300.0,250.0,True,0,0,5,10,59,5.675803669000743,5.678413669000292
32,ok,openjij-sqa,100.0,100.0,50.0,25.0,default,36,-125.0,-375.0,250.0,True,0,0,9,6,34,5.500024777998988,5.503849978000289
33,ok,openjij-sqa,100.0,100.0,50.0,30.0,default,36,-126.0,-450.0,324.0,True,0,0,3,12,18,5.385003597000832,5.387812497001505
34,ok,openjij-sqa,100.0,100.0,50.0,35.0,default,36,-398.0,-525.0,127.0,True,0,0,10,5,8,5.350087996001093,5.3529378959992755
35,ok,openjij-sqa,100.0,100.0,50.0,40.0,default,36,-316.0,-600.0,284.0,True,0,0,6,9,50,5.60015261099943,5.60285501099861
36,ok,openjij-sqa,100.0,100.0,60.0,20.0,default,36,-16.0,-300.0,284.0,True,0,0,4,11,27,5.34170895600073,5.344333455999731
