case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,annealer_seed,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
41,ok,openjij-sqa,70.0,70.0,65.0,45.0,default,32,40,-458.0,-675.0,217.0,False,1,3,8,7,66,5.629693983995821,5.632412184000714
42,ok,openjij-sqa,70.0,70.0,65.0,45.0,default,32,41,-475.0,-675.0,200.0,True,0,0,7,8,19,5.500550220996956,5.504408820997924
43,ok,openjij-sqa,70.0,70.0,65.0,45.0,default,32,42,-493.0,-675.0,182.0,True,0,0,9,6,17,5.5174083940073615,5.520981794004911
44,ok,openjij-sqa,70.0,70.0,65.0,45.0,default,32,43,-502.0,-675.0,173.0,True,0,0,8,7,7,5.43251932199928,5.43503732199315
45,ok,openjij-sqa,70.0,70.0,65.0,45.0,default,32,44,-386.0,-675.0,289.0,False,0,4,5,10,16,5.8017946480104,5.804359948000638
46,ok,openjij-sqa,75.0,75.0,55.0,35.0,default,32,40,-247.0,-525.0,278.0,True,0,0,5,10,33,5.402400888997363,5.405494888997055
47,ok,openjij-sqa,75.0,75.0,55.0,35.0,default,32,41,-296.0,-525.0,229.0,True,0,0,9,6,40,5.331893595997826,5.335367595995194
48,ok,openjij-sqa,75.0,75.0,55.0,35.0,default,32,42,-284.0,-525.0,241.0,False,0,2,6,9,33,5.4934525020071305,5.498188002005918
49,ok,openjij-sqa,75.0,75.0,55.0,35.0,default,32,43,-275.0,-525.0,250.0,True,0,0,6,9,67,5.374808606997249,5.377850207005395
50,ok,openjij-sqa,75.0,75.0,55.0,35.0,default,32,44,-393.0,-525.0,132.0,True,0,0,12,3,9,5.38722413299547,5.39000733300054
51,ok,openjij-sqa,75.0,75.0,55.0,40.0,default,32,40,-401.0,-600.0,199.0,True,0,0,5,10,29,5.336322659000871,5.338838758994825
52,ok,openjij-sqa,75.0,75.0,55.0,40.0,default,32,41,-426.0,-600.0,174.0,False,0,2,11,4,15,5.653405110002495,5.655877209996106
53,ok,openjij-sqa,75.0,75.0,55.0,40.0,default,32,42,-332.0,-600.0,268.0,False,1,3,7,8,18,5.394088051994913,5.397964251998928
54,ok,openjij-sqa,75.0,75.0,55.0,40.0,default,32,43,-481.0,-600.0,119.0,True,0,0,11,4,19,5.393385414994555,5.3959274149965495
55,ok,openjij-sqa,75.0,75.0,55.0,40.0,default,32,44,-347.0,-600.0,253.0,False,1,1,7,8,21,5.307432705012616,5.311767105013132
56,ok,openjij-sqa,75.0,75.0,55.0,45.0,default,32,40,-449.0,-675.0,226.0,True,0,0,6,9,36,5.4506359939987306,5.472995894000633
