case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_gamma,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,35.0,40,-940.5999999999858,-1190.0,249.4000000000142,False,True,False,2,33,0,0,0,0,0,0,26,7,0,61.116473468006006,61.11715806799475
2,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,35.0,41,-1032.1999999999862,-1190.0,157.80000000001382,False,False,False,1,34,0,1,0,1,0,24,31,3,0,59.74190388400166,59.74273178400472
3,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,35.0,42,-947.599999999984,-1190.0,242.400000000016,False,True,False,2,33,0,0,0,0,0,0,25,8,0,60.26567478799552,60.2664653880056
4,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,35.0,43,-911.1999999999862,-1190.0,278.8000000000138,False,True,False,2,33,0,0,0,0,0,0,25,8,0,59.0439305750042,59.044801474999986
5,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,35.0,44,-1037.1999999999844,-1190.0,152.80000000001564,False,True,False,2,33,0,0,0,0,0,0,30,3,0,57.98652424599277,57.988950845989166
6,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,35.0,40,-984.5999999999985,-1190.0,205.40000000000146,False,False,False,1,34,0,1,0,1,0,4,28,6,0,61.21675260399934,61.21753970399732
7,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,35.0,41,-1057.3999999999996,-1190.0,132.60000000000036,False,False,False,1,34,0,1,0,1,0,25,33,1,0,62.10297298101068,62.10388918098761
8,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,35.0,42,-836.2000000000007,-1190.0,353.7999999999993,False,False,False,1,34,0,1,0,1,0,13,21,13,0,63.940887290998944,63.94169409100141
9,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,35.0,43,-1190.0,-1190.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,63.02056977299799,63.02143497300858
10,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,35.0,44,-1190.0,-1190.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,43.24600543700217,43.24684463700396
