case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,75.0,75.0,30.0,20.0,default,40,-132.0,-300.0,168.0,True,0,0,5,10,19,14.03014491200156,14.032105512000271
2,ok,openjij-sqa,75.0,75.0,30.0,25.0,default,40,-250.0,-375.0,125.0,True,0,0,7,8,38,11.580331397999544,11.599281397997402
3,ok,openjij-sqa,75.0,75.0,30.0,30.0,default,40,-246.0,-450.0,204.0,True,0,0,4,11,41,11.331996024000546,11.334615023999504
4,ok,openjij-sqa,75.0,75.0,30.0,35.0,default,40,-332.0,-525.0,193.0,True,0,0,8,7,54,11.186298364002141,11.189793964000273
5,ok,openjij-sqa,75.0,75.0,30.0,40.0,default,40,-350.0,-600.0,250.0,False,1,1,9,6,56,11.826588418000028,11.829095818000496
6,ok,openjij-sqa,75.0,75.0,40.0,20.0,default,40,-156.0,-300.0,144.0,True,0,0,8,7,46,11.660580968000431,11.663386667998566
7,ok,openjij-sqa,75.0,75.0,40.0,25.0,default,40,-160.0,-375.0,215.0,True,0,0,4,11,48,11.406660484997701,11.409444684999471
8,ok,openjij-sqa,75.0,75.0,40.0,30.0,default,40,-214.0,-450.0,236.0,True,0,0,5,10,66,11.788863115998538,11.791791716001171
9,ok,openjij-sqa,75.0,75.0,40.0,35.0,default,40,-415.0,-525.0,110.0,True,0,0,9,6,15,11.69271232400206,11.696231824000279
10,ok,openjij-sqa,75.0,75.0,40.0,40.0,default,40,-304.0,-600.0,296.0,True,0,0,6,9,71,11.423692789001507,11.426461789000314
11,ok,openjij-sqa,75.0,75.0,50.0,20.0,default,40,-112.0,-300.0,188.0,True,0,0,7,8,58,11.656452757000807,11.659008757000265
12,ok,openjij-sqa,75.0,75.0,50.0,25.0,default,40,-195.0,-375.0,180.0,True,0,0,10,5,25,11.305241813002795,11.308025013000588
13,ok,openjij-sqa,75.0,75.0,50.0,30.0,default,40,-212.0,-450.0,238.0,True,0,0,6,9,22,12.056758020997222,12.059363520998886
14,ok,openjij-sqa,75.0,75.0,50.0,35.0,default,40,-319.0,-525.0,206.0,False,0,2,6,9,52,11.487352015999932,11.490668215999904
15,ok,openjij-sqa,75.0,75.0,50.0,40.0,default,40,-348.0,-600.0,252.0,True,0,0,8,7,66,11.4601196850017,11.463210685000377
16,ok,openjij-sqa,75.0,75.0,60.0,20.0,default,40,-104.0,-300.0,196.0,True,0,0,8,7,40,11.475942985001893,11.480135084999347
17,ok,openjij-sqa,75.0,75.0,60.0,25.0,default,40,-160.0,-375.0,215.0,True,0,0,6,9,42,11.444012183997984,11.447774883999955
18,ok,openjij-sqa,75.0,75.0,60.0,30.0,default,40,-138.0,-450.0,312.0,False,0,2,6,9,41,14.183550248999381,14.187210848998802
19,ok,openjij-sqa,75.0,75.0,60.0,35.0,default,40,-339.0,-525.0,186.0,True,0,0,6,9,19,15.11212704799982,15.114626948001387
20,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,40,-320.0,-600.0,280.0,True,0,0,7,8,46,15.326155886999913,15.329296487001557
21,ok,openjij-sqa,100.0,100.0,30.0,20.0,default,40,-86.0,-300.0,214.0,True,0,0,3,12,45,12.323369264002395,12.326066163997893
22,ok,openjij-sqa,100.0,100.0,30.0,25.0,default,40,-105.0,-375.0,270.0,True,0,0,5,10,61,11.185137356998894,11.188143256997137
23,ok,openjij-sqa,100.0,100.0,30.0,30.0,default,40,-306.0,-450.0,144.0,True,0,0,6,9,28,11.282876418998057,11.285488618999807
