case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
36,ok,openjij-sqa,200.0,200.0,30.0,30.0,default,32,-228.0,-450.0,222.0,True,0,0,8,7,44,4.487506535000648,4.490412834999006
37,ok,openjij-sqa,200.0,200.0,50.0,10.0,default,default,6064.0,-150.0,6214.0,False,12,12,3,12,44,1.1338954370003194,1.1365400349986885
38,ok,openjij-sqa,200.0,200.0,50.0,10.0,default,16,290.0,-150.0,440.0,True,0,0,4,11,77,2.471998041999541,2.4747030409998843
39,ok,openjij-sqa,200.0,200.0,50.0,10.0,default,32,6.0,-150.0,156.0,True,0,0,4,11,36,4.2222347299994,4.22472302999995
40,ok,openjij-sqa,200.0,200.0,50.0,20.0,default,default,4332.0,-300.0,4632.0,False,9,9,4,11,68,1.1163668669996696,1.1189032679994853
41,ok,openjij-sqa,200.0,200.0,50.0,20.0,default,16,126.0,-300.0,426.0,True,0,0,1,14,54,2.5444132819993683,2.5468510819991934
42,ok,openjij-sqa,200.0,200.0,50.0,20.0,default,32,-96.0,-300.0,204.0,True,0,0,3,12,20,4.297076793998713,4.299566093999601
43,ok,openjij-sqa,200.0,200.0,50.0,30.0,default,default,6304.0,-450.0,6754.0,False,13,13,1,14,48,1.1508421979997365,1.153450399000576
44,ok,openjij-sqa,200.0,200.0,50.0,30.0,default,16,28.0,-450.0,478.0,True,0,0,3,12,68,2.432071432000157,2.4344883320009103
45,ok,openjij-sqa,200.0,200.0,50.0,30.0,default,32,48.0,-450.0,498.0,True,0,0,6,9,44,4.1754731529999844,4.178046953999001
46,ok,openjij-sqa,200.0,200.0,100.0,10.0,default,default,6078.0,-150.0,6228.0,False,10,10,1,14,26,1.2152623149995634,1.2177750150003703
47,ok,openjij-sqa,200.0,200.0,100.0,10.0,default,16,206.0,-150.0,356.0,True,0,0,5,10,34,2.4521949299996777,2.454688530000567
48,ok,openjij-sqa,200.0,200.0,100.0,10.0,default,32,208.0,-150.0,358.0,True,0,0,4,11,25,4.1986809549998725,4.201318354998875
49,ok,openjij-sqa,200.0,200.0,100.0,20.0,default,default,6436.0,-300.0,6736.0,False,11,11,1,14,55,1.1972121170001628,1.1996178169993073
