case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,69,all,577,715,5729,80.0,120.0,20.0,20.0,40,-952.727272727212,-1340.0,387.27272727278796,False,True,False,4,65,0,0,0,0,0,0,19,46,0,7.186583059999975,7.1888230580007075
2,69,all,577,715,5729,80.0,120.0,20.0,20.0,41,-954.5454545453922,-1340.0,385.4545454546078,False,True,False,4,65,0,0,0,0,0,0,16,49,0,4.914558197000588,4.917934896999213
3,69,all,577,715,5729,80.0,120.0,20.0,20.0,42,-999.9999999999382,-1340.0,340.00000000006185,False,True,False,4,65,0,0,0,0,0,0,25,40,0,4.616407934001472,4.619298133999109
4,69,all,577,715,5729,80.0,120.0,40.0,20.0,40,-919.9999999999382,-1320.0,400.00000000006185,False,True,False,4,65,0,0,0,0,0,0,22,43,0,4.734261510999204,4.736997611998959
5,69,all,577,715,5729,80.0,120.0,40.0,20.0,41,-967.2727272726661,-1320.0,352.7272727273339,False,True,False,3,66,0,0,0,0,0,0,13,53,0,4.597624161000567,4.601959160998376
6,69,all,577,715,5729,80.0,120.0,40.0,20.0,42,-894.545454545394,-1320.0,425.454545454606,False,True,False,4,65,0,0,0,0,0,0,18,47,0,4.714677359999769,4.717508760000783
7,69,all,577,715,5729,100.0,120.0,20.0,20.0,40,-899.9999999999418,-1340.0,440.0000000000582,False,True,False,5,64,0,0,0,0,0,0,19,45,0,4.662753840999358,4.666023841000424
8,69,all,577,715,5729,100.0,120.0,20.0,20.0,41,-907.2727272726697,-1340.0,432.7272727273303,False,True,False,5,64,0,0,0,0,0,0,17,47,0,4.728102766999655,4.731808667002042
9,69,all,577,715,5729,100.0,120.0,20.0,20.0,42,-887.2727272726661,-1340.0,452.7272727273339,False,True,False,5,64,0,0,0,0,0,0,16,48,0,4.784036880999338,4.7872901810005715
10,69,all,577,715,5729,100.0,120.0,40.0,20.0,40,-767.2727272726625,-1320.0,552.7272727273375,False,True,False,5,64,0,0,0,0,0,0,15,49,0,4.629858668999077,4.632716567997704
11,69,all,577,715,5729,100.0,120.0,40.0,20.0,41,-881.8181818181165,-1320.0,438.1818181818835,False,True,False,4,65,0,0,0,0,0,0,18,47,0,4.830751882000186,4.833631082001375
12,69,all,577,715,5729,100.0,120.0,40.0,20.0,42,-890.90909090903,-1320.0,429.09090909096994,False,True,False,4,65,0,0,0,0,0,0,17,48,0,4.958883233997767,4.962929334000364
