case,model,reads_used,candidate_edges,qubo_variables,quadratic_terms,path_count_penalty,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_layout,selected_edge_count,selected_source_count,selected_sink_count,edge_count_violation,in_degree_violations,out_degree_violations,read_in_constraint_violations,read_out_constraint_violations,void_in_constraint_violation,void_out_constraint_violation,selected_adjacent_correct,selected_jump_correct,selected_wrong,adjacent_recall,truth_forward_edges,truth_gap_edges,truth_backward_edges,main_path_nodes,main_path_edges,main_path_start_rank,main_path_end_rank,main_path_missing_reads,main_path_max_jump,full_dna_recoverable,prunable_extra_edges,build_sec,anneal_sec,total_sec
1,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,40,-3272.0,-3960.0,688.0,False,False,99,1,2,0,0,1,,,,,48,51,0,0.48484848484848486,99,0,0,62,61,0,99,38,4,True,38,0.002049199999999196,22.486936135,22.489517335
2,cycle,100,395,595,11890,,40.0,,,,40.0,40,-3832.0,-3960.0,128.0,False,False,101,1,1,,2,2,2,2,0,0,95,6,0,0.9595959595959596,101,0,0,98,97,0,99,2,2,True,4,0.004637697999999801,20.193539635000004,20.198530633000004
3,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,41,-3360.0,-3960.0,600.0,False,False,99,1,5,0,0,4,,,,,76,23,0,0.7676767676767676,99,0,0,83,82,0,99,17,3,True,17,0.0029906999999980144,19.914599243000005,19.917987743000005
4,cycle,100,395,595,11890,,40.0,,,,40.0,41,-3888.0,-3960.0,72.0,False,False,100,1,1,,1,1,1,1,0,0,97,3,0,0.9797979797979798,100,0,0,99,98,0,99,1,2,True,2,0.005153000000007069,19.928154785000004,19.933633285
5,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,42,-3264.0,-3960.0,696.0,False,False,99,1,5,0,0,4,,,,,70,29,0,0.7070707070707071,99,0,0,75,74,0,99,25,4,True,25,0.003341500999994196,19.84478850299999,19.848526003999993
6,cycle,100,395,595,11890,,40.0,,,,40.0,42,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.021095500000001266,19.903553965000015,19.924996265000004
7,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,43,-3560.0,-3960.0,400.0,False,False,99,1,3,0,0,2,,,,,81,18,0,0.8181818181818182,99,0,0,89,88,0,99,11,3,True,11,0.003104500000006283,19.92296697399999,19.926457373999995
8,cycle,100,395,595,11890,,40.0,,,,40.0,43,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.00509429999999611,20.52503269099998,20.530482191000004
9,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,44,-3192.0,-3960.0,768.0,False,False,99,1,4,0,0,3,,,,,53,46,0,0.5353535353535354,99,0,0,66,65,0,99,34,4,True,34,0.0026153999999962707,19.956550403999984,19.959571703999984
10,cycle,100,395,595,11890,,40.0,,,,40.0,44,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.004185199999994893,19.960063924999986,19.964573624999986
11,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,45,-3528.0,-3960.0,432.0,False,False,99,1,4,0,0,3,,,,,84,15,0,0.8484848484848485,99,0,0,86,85,0,99,14,4,True,14,0.002841700000004721,20.121688374,20.12500777400001
12,cycle,100,395,595,11890,,40.0,,,,40.0,45,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.0036219000000130563,20.277654666000018,20.28159336599998
13,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,46,-3368.0,-3960.0,592.0,False,False,99,1,4,0,0,3,,,,,71,28,0,0.7171717171717171,99,0,0,78,77,0,99,22,4,True,22,0.0028963999999973566,20.028737140999993,20.032024441000004
14,cycle,100,395,595,11890,,40.0,,,,40.0,46,-3904.0,-3960.0,56.0,False,False,100,1,1,,1,1,1,1,0,0,98,2,0,0.98989898989899,100,0,0,99,98,0,99,1,2,True,2,0.0035518999999908374,20.279522161999978,20.283354962000033
15,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,47,-3232.0,-3960.0,728.0,False,False,99,1,4,0,0,3,,,,,64,35,0,0.6464646464646465,99,0,0,71,70,0,99,29,4,True,29,0.0027061999999773434,19.776182102000007,19.779284001999997
16,cycle,100,395,595,11890,,40.0,,,,40.0,47,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.005066200000044319,20.19592342300001,20.20133442299999
17,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,48,-3464.0,-3960.0,496.0,False,False,99,1,3,0,0,2,,,,,75,24,0,0.7575757575757576,99,0,0,78,77,0,99,22,4,True,22,0.003388900000004469,20.151214213000003,20.154995713000005
18,cycle,100,395,595,11890,,40.0,,,,40.0,48,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.004903500000011718,19.990780017999953,19.996014718000026
19,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,49,-3728.0,-3960.0,232.0,False,False,99,1,3,0,0,2,,,,,93,6,0,0.9393939393939394,99,0,0,95,94,0,99,5,3,True,5,0.0029940000000010514,19.710625671999992,19.713988771999993
