case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
39,8,22,80.0,140.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.0979855330006103,1.098216432999834
40,8,22,80.0,140.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,0.9779996309989656,0.9782816309998452
41,8,22,100.0,80.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1721005359995615,1.172288636000303
42,8,22,100.0,80.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.4533850450006867,1.4535847449988069
43,8,22,100.0,80.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1638882360002754,1.164084936001018
44,8,22,100.0,80.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.3976678750004794,1.3978666749990225
45,8,22,100.0,80.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1755670029997418,1.1761170030003996
46,8,22,100.0,100.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.045949491999636,1.046489192000081
47,8,22,100.0,100.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,0.9285343820010894,0.9287502819988731
48,8,22,100.0,100.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.0407590909999271,1.040992891001224
49,8,22,100.0,100.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,0.9528361840002617,0.9530434839998634
50,8,22,100.0,100.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,0.9441472829985287,0.9447200829999929
51,8,22,100.0,120.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,0.9428332829993451,0.9432047829996009
52,8,22,100.0,120.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,0.9367265540004155,0.9372366539992072
53,8,22,100.0,120.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,0.928465031000087,0.9287834309998289
54,8,22,100.0,120.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.0400933340006304,1.0402926339993428
55,8,22,100.0,120.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.054693035001037,1.0548940349999611
56,8,22,100.0,140.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.028557235000335,1.02878443499867
57,8,22,100.0,140.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.038049033999414,1.038289234000331
58,8,22,100.0,140.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.4792934500001138,1.4794791500007705
59,8,22,100.0,140.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1946055940006772,1.194804994000151
60,8,22,100.0,140.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.123154255999907,1.1236913559987443
61,8,22,120.0,80.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.0721502619999228,1.0723405620010453
62,8,22,120.0,80.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,0.9521979769997415,0.9524243770010798
63,8,22,120.0,80.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.0241053689987893,1.0246949689990288
64,8,22,120.0,80.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1448694529990462,1.14544615199884
65,8,22,120.0,80.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.073437779001324,1.073630578999655
66,8,22,120.0,100.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.0767736790003255,1.0773617790000571
67,8,22,120.0,100.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,0.9913542280010006,0.9915457279985276
