case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,50,405,120.0,140.0,20.0,42,-805.4545454555191,-980.0,174.5454545444809,False,False,49,0,0,1,38,11,0,20.717154799000127,20.731028298998353
2,50,405,120.0,140.0,20.0,43,-776.3636363646947,-980.0,203.63636363530532,False,False,48,1,0,0,33,15,0,18.435917213999346,18.473561214001165
3,50,405,120.0,140.0,20.0,44,-823.6363636374008,-980.0,156.3636363625992,False,False,49,0,0,1,40,9,0,18.473135909998746,18.51141461000043
4,50,405,120.0,160.0,20.0,42,-780.0000000009313,-980.0,199.99999999906868,False,False,48,1,0,0,30,18,0,17.616834263000783,17.658439662998717
5,50,405,120.0,160.0,20.0,43,-603.6363636374008,-980.0,376.3636363625992,False,False,48,1,1,0,30,18,0,17.644187476000297,17.680432076000216
6,50,405,120.0,160.0,20.0,44,-625.4545454555191,-980.0,354.5454545444809,False,False,48,1,1,0,36,12,0,17.853348979000657,17.890851479000048
7,50,405,120.0,180.0,20.0,42,-585.4545454555191,-980.0,394.5454545444809,False,False,48,1,0,1,25,23,0,17.21981781299837,17.256079312999645
8,50,405,120.0,180.0,20.0,43,-543.6363636374008,-980.0,436.3636363625992,False,False,48,1,0,1,23,25,0,17.091551648998575,17.126903549000417
9,50,405,120.0,180.0,20.0,44,-574.5454545465764,-980.0,405.45454545342363,False,False,48,1,0,1,27,21,0,17.367110911000054,17.401963811000314
10,50,405,140.0,140.0,20.0,42,-610.9090909109218,-980.0,369.0909090890782,False,False,49,0,0,2,20,29,0,17.803943536999213,17.840423936999287
11,50,405,140.0,140.0,20.0,43,-770.9090909109218,-980.0,209.0909090890782,False,False,49,0,0,1,31,18,0,17.171348105001016,17.2070407049996
12,50,405,140.0,140.0,20.0,44,-630.9090909110382,-980.0,349.0909090889618,False,False,49,0,1,1,30,19,0,17.337771766000515,17.37446876499962
13,50,405,140.0,160.0,20.0,42,-980.0000000018626,-980.0,-1.862645149230957e-09,False,True,49,0,0,0,49,0,0,17.24632156500047,17.282064864999484
14,50,405,140.0,160.0,20.0,43,-801.8181818200974,-980.0,178.18181817990262,False,False,48,1,0,0,41,7,0,17.50079806499889,17.536068064000574
15,50,405,140.0,160.0,20.0,44,-783.6363636383321,-980.0,196.3636363616679,False,False,48,1,0,0,38,10,0,17.377003286001127,17.41288388599969
16,50,405,140.0,180.0,20.0,42,-574.5454545472749,-980.0,405.45454545272514,False,False,48,1,1,0,27,21,0,17.26851634600098,17.304922245999478
17,50,405,140.0,180.0,20.0,43,-601.8181818200974,-980.0,378.1818181799026,False,False,48,1,0,1,38,10,0,17.290968952000185,17.327301651999733
18,50,405,140.0,180.0,20.0,44,-749.0909090926871,-980.0,230.90909090731293,False,False,48,1,0,0,28,20,0,17.411885898000037,17.448850497999956
19,50,405,160.0,140.0,20.0,42,-610.9090909102233,-980.0,369.0909090897767,False,False,49,0,1,1,27,22,0,18.196647898001174,18.234073498000726
20,50,405,160.0,140.0,20.0,43,-601.8181818196317,-980.0,378.1818181803683,False,False,49,0,1,1,21,28,0,17.42191648500011,17.45836158400016
21,50,405,160.0,140.0,20.0,44,-614.5454545468092,-980.0,365.4545454531908,False,False,49,0,0,2,27,22,0,17.419779141999243,17.45571024200035
22,50,405,160.0,160.0,20.0,42,-747.2727272739867,-980.0,232.72727272601333,False,False,49,0,0,1,33,16,0,17.44323401100155,17.479049610999937
23,50,405,160.0,160.0,20.0,43,-754.5454545469256,-980.0,225.4545454530744,False,False,49,0,0,1,28,21,0,17.58992679200128,17.62684609200005
24,50,405,160.0,160.0,20.0,44,-761.8181818195153,-980.0,218.1818181804847,False,False,49,0,0,1,30,19,0,17.304916549001064,17.340914148999218
25,50,405,160.0,180.0,20.0,42,-769.0909090923378,-980.0,210.90909090766218,False,False,48,1,0,0,40,8,0,17.084831258000122,17.120975757999986
26,50,405,160.0,180.0,20.0,43,-765.4545454559848,-980.0,214.54545454401523,False,False,48,1,0,0,40,8,0,17.069384244001412,17.104742344999977
27,50,405,160.0,180.0,20.0,44,-758.1818181832787,-980.0,221.81818181672134,False,False,48,1,0,0,37,11,0,17.400642829999924,17.437339030999283
