case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_gamma,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,50.0,40,-1700.0,-1700.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,59.47510810500535,59.475947204991826
2,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,50.0,41,-1498.0,-1700.0,202.0,False,False,False,1,34,0,1,0,1,0,9,31,3,0,55.30570158000046,55.306592180000735
3,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,50.0,42,-1314.0,-1700.0,386.0,False,False,False,1,34,0,1,0,1,0,14,25,9,0,54.38045707200945,54.38125427199702
4,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,50.0,43,-1360.0,-1700.0,340.0,False,False,False,1,34,0,1,0,1,0,10,25,9,0,55.38084569000057,55.381623689987464
5,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,50.0,44,-1700.0,-1700.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,55.52110359100334,55.527835289991344
6,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,50.0,40,-1700.0,-1700.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,54.37269800899958,54.37363420899783
7,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,50.0,41,-1700.0,-1700.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,57.440028569006245,57.44091926900728
8,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,50.0,42,-1700.0,-1700.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,58.31810857099481,58.319164570988505
9,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,50.0,43,-1458.0,-1700.0,242.0,False,False,False,1,34,0,1,0,1,0,3,28,6,0,58.72879207500955,58.72975987500104
10,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,50.0,44,-1512.0,-1700.0,188.0,False,False,False,1,34,0,1,0,1,0,14,31,3,0,57.87868570700812,57.87953900700086
