case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,49,315,120.0,140.0,20.0,40,-960.0000000006985,-960.0,-6.984919309616089e-10,True,True,48,0,0,0,48,0,0,15.463084027998775,15.47719892799978
2,49,315,120.0,140.0,20.0,41,-806.7924528308213,-960.0,153.20754716917872,False,False,48,0,1,0,46,2,0,13.114029525999285,13.12456232600016
3,49,315,120.0,140.0,20.0,42,-780.3773584912997,-960.0,179.62264150870033,False,False,47,1,0,0,38,9,0,12.897650220998912,12.90791672100022
4,49,315,120.0,140.0,20.0,43,-960.0000000006985,-960.0,-6.984919309616089e-10,True,True,48,0,0,0,48,0,0,13.090803889999734,13.101209889999154
5,49,315,120.0,140.0,20.0,44,-764.5283018873306,-960.0,195.4716981126694,False,False,48,0,0,1,35,13,0,13.26623249199838,13.278898391999974
6,49,315,120.0,140.0,20.0,45,-780.3773584912997,-960.0,179.62264150870033,False,False,48,0,0,1,41,7,0,13.778799698999137,13.789630999999645
7,49,315,120.0,140.0,20.0,46,-960.0000000006985,-960.0,-6.984919309616089e-10,True,True,48,0,0,0,48,0,0,13.104442724001274,13.114928424000027
8,49,315,120.0,140.0,20.0,47,-801.5094339628704,-960.0,158.4905660371296,False,False,48,0,1,0,44,4,0,13.060091459999967,13.071734860001015
9,49,315,120.0,140.0,20.0,48,-960.0000000006985,-960.0,-6.984919309616089e-10,True,True,48,0,0,0,48,0,0,13.503870180000376,13.51776867999979
10,49,315,120.0,140.0,20.0,49,-809.4339622647967,-960.0,150.56603773520328,False,False,48,0,0,1,45,3,0,13.261717874998794,13.272818475001259
