case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,75.0,75.0,30.0,20.0,default,40,-156.0,-300.0,144.0,True,0,0,8,7,40,18.17291948899947,18.17490208899835
2,ok,openjij-sqa,75.0,75.0,30.0,25.0,default,40,-220.0,-375.0,155.0,True,0,0,7,8,45,15.753577012001188,15.77314101200318
3,ok,openjij-sqa,75.0,75.0,30.0,30.0,default,40,-324.0,-450.0,126.0,True,0,0,5,10,32,15.851588454002922,15.85513665399776
4,ok,openjij-sqa,75.0,75.0,30.0,35.0,default,40,-332.0,-525.0,193.0,True,0,0,9,6,53,15.903472468999098,15.905977169000835
5,ok,openjij-sqa,75.0,75.0,30.0,40.0,default,40,-334.0,-600.0,266.0,True,0,0,6,9,72,15.72041776500555,15.722943864995614
6,ok,openjij-sqa,75.0,75.0,40.0,20.0,default,40,-196.0,-300.0,104.0,True,0,0,7,8,44,15.972883219998039,15.97569582000142
7,ok,openjij-sqa,75.0,75.0,40.0,25.0,default,40,-185.0,-375.0,190.0,True,0,0,6,9,37,15.646806513999763,15.649315314003616
8,ok,openjij-sqa,75.0,75.0,40.0,30.0,default,40,-338.0,-450.0,112.0,True,0,0,10,5,11,15.771459656003572,15.774042156001087
9,ok,openjij-sqa,75.0,75.0,40.0,35.0,default,40,-298.0,-525.0,227.0,True,0,0,5,10,37,16.19776222600194,16.200337725997088
10,ok,openjij-sqa,75.0,75.0,40.0,40.0,default,40,-408.0,-600.0,192.0,True,0,0,9,6,18,15.752857069994207,15.756177868999657
11,ok,openjij-sqa,75.0,75.0,50.0,20.0,default,40,-108.0,-300.0,192.0,True,0,0,5,10,17,15.722043516994745,15.724511116997746
12,ok,openjij-sqa,75.0,75.0,50.0,25.0,default,40,-265.0,-375.0,110.0,True,0,0,9,6,20,15.914034594999976,15.916478595005174
13,ok,openjij-sqa,75.0,75.0,50.0,30.0,default,40,-316.0,-450.0,134.0,True,0,0,7,8,14,15.996950981003465,15.999743480999314
14,ok,openjij-sqa,75.0,75.0,50.0,35.0,default,40,-320.0,-525.0,205.0,True,0,0,11,4,24,15.827137835003668,15.829782734996115
15,ok,openjij-sqa,75.0,75.0,50.0,40.0,default,40,-370.0,-600.0,230.0,False,0,2,7,8,36,15.683348559003207,15.685828658999526
16,ok,openjij-sqa,75.0,75.0,60.0,20.0,default,40,-104.0,-300.0,196.0,True,0,0,7,8,14,15.817226655999548,15.819716355996206
17,ok,openjij-sqa,75.0,75.0,60.0,25.0,default,40,-140.0,-375.0,235.0,True,0,0,6,9,42,15.91296124800283,15.915695748000871
18,ok,openjij-sqa,75.0,75.0,60.0,30.0,default,40,-312.0,-450.0,138.0,True,0,0,8,7,49,15.9485432520014,15.951349652001227
19,ok,openjij-sqa,75.0,75.0,60.0,35.0,default,40,-203.0,-525.0,322.0,False,0,2,8,7,55,15.727387125996756,15.730108925999957
20,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,40,-418.0,-600.0,182.0,False,0,2,10,5,54,15.813573301005817,15.816286501001741
21,ok,openjij-sqa,100.0,100.0,30.0,20.0,default,40,-148.0,-300.0,152.0,True,0,0,7,8,59,16.05989831199986,16.06264721199841
22,ok,openjij-sqa,100.0,100.0,30.0,25.0,default,40,-175.0,-375.0,200.0,True,0,0,7,8,27,15.87658733799617,15.879108738001378
23,ok,openjij-sqa,100.0,100.0,30.0,30.0,default,40,-246.0,-450.0,204.0,True,0,0,3,12,34,15.720886994000466,15.723637793998932
24,ok,openjij-sqa,100.0,100.0,30.0,35.0,default,40,-369.0,-525.0,156.0,True,0,0,7,8,26,15.626412564997736,15.629388964996906
25,ok,openjij-sqa,100.0,100.0,30.0,40.0,default,40,-418.0,-600.0,182.0,True,0,0,4,11,35,15.850157424996723,15.852755924999656
26,ok,openjij-sqa,100.0,100.0,40.0,20.0,default,40,-72.0,-300.0,228.0,True,0,0,6,9,56,15.769560901004297,15.772454100995674
27,ok,openjij-sqa,100.0,100.0,40.0,25.0,default,40,-180.0,-375.0,195.0,True,0,0,5,10,23,15.754795676002686,15.757711575999565
28,ok,openjij-sqa,100.0,100.0,40.0,30.0,default,40,-174.0,-450.0,276.0,True,0,0,5,10,25,15.912388012999145,15.914991612997255
29,ok,openjij-sqa,100.0,100.0,40.0,35.0,default,40,-277.0,-525.0,248.0,True,0,0,6,9,66,15.964405543003522,15.96683544300322
30,ok,openjij-sqa,100.0,100.0,40.0,40.0,default,40,-360.0,-600.0,240.0,True,0,0,6,9,26,15.782137422000233,15.784815122002328
