case,model,reads_used,candidate_edges,qubo_variables,quadratic_terms,path_count_penalty,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_layout,selected_edge_count,selected_source_count,selected_sink_count,edge_count_violation,in_degree_violations,out_degree_violations,read_in_constraint_violations,read_out_constraint_violations,void_in_constraint_violation,void_out_constraint_violation,selected_adjacent_correct,selected_jump_correct,selected_wrong,adjacent_recall,build_sec,anneal_sec,total_sec
1,path_cover,100,395,595,7040,,80.0,120.0,0.0,120.0,40.0,40,-3729.5999999999985,-3960.0,230.40000000000146,False,False,99,1,2,0,0,1,,,,,92,7,0,0.9292929292929293,0.0020775999998932093,22.322783913999956,22.325326213999915
2,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,40,-3822.399999999994,-3960.0,137.60000000000582,False,False,99,1,2,0,0,1,,,,,95,4,0,0.9595959595959596,0.002683599999954822,19.47418186699997,19.47729696700003
3,cycle,100,395,595,11890,,40.0,,,,40.0,40,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,0.004257499999994252,19.763161770999886,19.768059271000084
4,cycle,100,395,595,11890,,60.0,,,,40.0,40,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,0.004084799999873212,19.80542140500006,19.809948905000056
5,path_cover,100,395,595,7040,,80.0,120.0,0.0,120.0,40.0,41,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,0.0033169000000725646,19.72490817700009,19.72864137700003
6,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,41,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,0.002759299999979703,19.62691132199984,19.630081221999944
7,cycle,100,395,595,11890,,40.0,,,,40.0,41,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,0.004055799999832743,20.00318710700003,20.00758130700001
8,cycle,100,395,595,11890,,60.0,,,,40.0,41,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,0.003829799999948591,19.79817514199999,19.80234804199995
