case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,16,all,54,86,276,80.0,120.0,20.0,20.0,40,-188.0,-280.0,92.0,False,True,False,2,14,0,0,0,0,0,0,6,8,0,4.077080441998987,4.077587042000232
2,16,all,54,86,276,80.0,120.0,20.0,20.0,41,-196.0,-280.0,84.0,False,True,False,2,14,0,0,0,0,0,0,8,6,0,1.8625022189989977,1.862824919000559
3,16,all,54,86,276,80.0,120.0,20.0,20.0,42,-208.0,-280.0,72.0,False,True,False,2,14,0,0,0,0,0,0,7,7,0,1.416192944998329,1.4165536449982028
4,16,all,54,86,276,80.0,120.0,20.0,20.0,43,-216.0,-280.0,64.0,False,True,False,2,14,0,0,0,0,0,0,11,3,0,1.3324434479982301,1.332778848001908
5,16,all,54,86,276,80.0,120.0,20.0,20.0,44,-156.0,-280.0,124.0,False,True,False,3,13,0,0,0,0,0,0,8,5,0,1.3032973489971482,1.3036557490013365
6,24,all,86,134,444,80.0,120.0,20.0,20.0,40,-324.0,-440.0,116.0,False,True,False,2,22,0,0,0,0,0,0,11,11,0,2.3405706089979503,2.3410447089991067
7,24,all,86,134,444,80.0,120.0,20.0,20.0,41,-260.0,-440.0,180.0,False,True,False,4,20,0,0,0,0,0,0,10,10,0,2.1256337689992506,2.1261255689969403
8,24,all,86,134,444,80.0,120.0,20.0,20.0,42,-356.0,-440.0,84.0,False,True,False,2,22,0,0,0,0,0,0,15,7,0,2.9352588609981467,2.9357813610004087
9,24,all,86,134,444,80.0,120.0,20.0,20.0,43,-248.0,-440.0,192.0,False,True,False,3,21,0,0,0,0,0,0,5,16,0,2.161492270999588,2.1619238710009085
10,24,all,86,134,444,80.0,120.0,20.0,20.0,44,-304.0,-440.0,136.0,False,True,False,3,21,0,0,0,0,0,0,13,8,0,2.2810121699985757,2.2821097699998063
11,35,all,131,201,685,80.0,120.0,20.0,20.0,40,-516.0,-660.0,144.0,False,True,False,2,33,0,0,0,0,0,0,18,15,0,3.6267307130001427,3.6274429130025965
12,35,all,131,201,685,80.0,120.0,20.0,20.0,41,-508.0,-660.0,152.0,False,True,False,2,33,0,0,0,0,0,0,14,19,0,3.4461453209987667,3.446947320997424
13,35,all,131,201,685,80.0,120.0,20.0,20.0,42,-528.0,-660.0,132.0,False,True,False,2,33,0,0,0,0,0,0,20,13,0,3.1303462119976757,3.131570411998837
14,35,all,131,201,685,80.0,120.0,20.0,20.0,43,-464.0,-660.0,196.0,False,True,False,3,32,0,0,0,0,0,0,18,14,0,2.9942375979990175,2.9948676979984157
15,35,all,131,201,685,80.0,120.0,20.0,20.0,44,-444.0,-660.0,216.0,False,True,False,3,32,0,0,0,0,0,0,15,17,0,2.9720429079970927,2.9727123089978704
