case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,75.0,75.0,30.0,20.0,default,24,-160.0,-300.0,140.0,True,0,0,7,8,41,6.573100035999232,6.574954334999347
2,ok,openjij-sqa,75.0,75.0,30.0,20.0,default,28,-152.0,-300.0,148.0,True,0,0,5,10,51,4.464888817999963,4.484944326999539
3,ok,openjij-sqa,75.0,75.0,30.0,20.0,default,32,-144.0,-300.0,156.0,True,0,0,5,10,60,5.031095088001166,5.0335652899993875
4,ok,openjij-sqa,75.0,75.0,30.0,25.0,default,24,-200.0,-375.0,175.0,True,0,0,5,10,38,4.789079322999896,4.793836926999575
5,ok,openjij-sqa,75.0,75.0,30.0,25.0,default,28,-205.0,-375.0,170.0,True,0,0,4,11,39,5.432550261999495,5.435130563000712
6,ok,openjij-sqa,75.0,75.0,30.0,25.0,default,32,-275.0,-375.0,100.0,True,0,0,7,8,30,5.842201870000281,5.844629875000464
7,ok,openjij-sqa,75.0,75.0,30.0,30.0,default,24,-354.0,-450.0,96.0,True,0,0,10,5,7,4.687703145998967,4.690190745999644
8,ok,openjij-sqa,75.0,75.0,30.0,30.0,default,28,-240.0,-450.0,210.0,True,0,0,9,6,29,5.3328711459998885,5.354100847000154
9,ok,openjij-sqa,75.0,75.0,30.0,30.0,default,32,-288.0,-450.0,162.0,True,0,0,9,6,75,5.836867231999349,5.839815433000695
10,ok,openjij-sqa,75.0,75.0,30.0,35.0,default,24,-311.0,-525.0,214.0,True,0,0,5,10,61,3.7097587900007056,3.712222190999455
11,ok,openjij-sqa,75.0,75.0,30.0,35.0,default,28,-266.0,-525.0,259.0,False,1,1,8,7,64,4.279153273999327,4.281575674000123
12,ok,openjij-sqa,75.0,75.0,30.0,35.0,default,32,-425.0,-525.0,100.0,True,0,0,12,3,6,4.8847620870001265,4.887650087999646
13,ok,openjij-sqa,75.0,75.0,30.0,40.0,default,24,-350.0,-600.0,250.0,False,2,2,8,7,62,3.773307677000048,3.7757418769997457
14,ok,openjij-sqa,75.0,75.0,30.0,40.0,default,28,-350.0,-600.0,250.0,True,0,0,9,6,75,4.364489760000652,4.3675115589994675
15,ok,openjij-sqa,75.0,75.0,30.0,40.0,default,32,-442.0,-600.0,158.0,True,0,0,8,7,34,5.11205224600053,5.1145570459993905
16,ok,openjij-sqa,75.0,75.0,40.0,20.0,default,24,-28.0,-300.0,272.0,True,0,0,7,8,33,4.2830415010012075,4.285501599999407
17,ok,openjij-sqa,75.0,75.0,40.0,20.0,default,28,-136.0,-300.0,164.0,True,0,0,8,7,25,4.472487877999811,4.474979778000488
18,ok,openjij-sqa,75.0,75.0,40.0,20.0,default,32,-64.0,-300.0,236.0,True,0,0,2,13,21,4.8558592340014,4.8588145339999755
19,ok,openjij-sqa,75.0,75.0,40.0,25.0,default,24,-185.0,-375.0,190.0,True,0,0,6,9,56,3.991297726000994,3.9940785260005214
20,ok,openjij-sqa,75.0,75.0,40.0,25.0,default,28,-215.0,-375.0,160.0,True,0,0,10,5,52,6.14113118899877,6.143608189000588
21,ok,openjij-sqa,75.0,75.0,40.0,25.0,default,32,-200.0,-375.0,175.0,True,0,0,7,8,43,6.080308164999224,6.083112464999431
22,ok,openjij-sqa,75.0,75.0,40.0,30.0,default,24,-256.0,-450.0,194.0,True,0,0,7,8,66,4.36144040399995,4.36431690399877
23,ok,openjij-sqa,75.0,75.0,40.0,30.0,default,28,-332.0,-450.0,118.0,True,0,0,9,6,24,6.2456563400010054,6.248278140999901
