case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,75.0,75.0,30.0,20.0,default,36,-152.0,-300.0,148.0,True,0,0,6,9,55,12.791332355998748,12.793323256002623
2,ok,openjij-sqa,75.0,75.0,30.0,25.0,default,36,-195.0,-375.0,180.0,True,0,0,3,12,30,10.482923354000377,10.502130954002496
3,ok,openjij-sqa,75.0,75.0,30.0,30.0,default,36,-252.0,-450.0,198.0,True,0,0,7,8,27,10.315135561002535,10.318133660999592
4,ok,openjij-sqa,75.0,75.0,30.0,35.0,default,36,-302.0,-525.0,223.0,True,0,0,10,5,52,10.793941268002527,10.796582668001065
5,ok,openjij-sqa,75.0,75.0,30.0,40.0,default,36,-366.0,-600.0,234.0,True,0,0,10,5,72,10.509300486002758,10.512581785998918
6,ok,openjij-sqa,75.0,75.0,40.0,20.0,default,36,-140.0,-300.0,160.0,True,0,0,8,7,28,10.453005024999584,10.455957924998074
7,ok,openjij-sqa,75.0,75.0,40.0,25.0,default,36,-210.0,-375.0,165.0,True,0,0,8,7,34,10.618892770999082,10.622731371000555
8,ok,openjij-sqa,75.0,75.0,40.0,30.0,default,36,-344.0,-450.0,106.0,True,0,0,9,6,15,10.817000000002736,10.82048229999782
9,ok,openjij-sqa,75.0,75.0,40.0,35.0,default,36,-352.0,-525.0,173.0,True,0,0,4,11,39,11.011105375000625,11.01382137499968
10,ok,openjij-sqa,75.0,75.0,40.0,40.0,default,36,-432.0,-600.0,168.0,True,0,0,7,8,30,12.869203488000494,12.871931988000142
11,ok,openjij-sqa,75.0,75.0,50.0,20.0,default,36,-174.0,-300.0,126.0,True,0,0,3,12,35,13.726770389999729,13.729947390002053
12,ok,openjij-sqa,75.0,75.0,50.0,25.0,default,36,-175.0,-375.0,200.0,True,0,0,7,8,39,12.461604165000608,12.464451265001117
13,ok,openjij-sqa,75.0,75.0,50.0,30.0,default,36,-242.0,-450.0,208.0,True,0,0,7,8,50,10.524292379999679,10.5270546799984
14,ok,openjij-sqa,75.0,75.0,50.0,35.0,default,36,-271.0,-525.0,254.0,True,0,0,4,11,31,10.143898002999777,10.147751603002689
15,ok,openjij-sqa,75.0,75.0,50.0,40.0,default,36,-296.0,-600.0,304.0,False,0,2,8,7,66,10.507317791998503,10.510139092002646
16,ok,openjij-sqa,75.0,75.0,60.0,20.0,default,36,-108.0,-300.0,192.0,True,0,0,7,8,22,10.266361887999665,10.270089687997825
17,ok,openjij-sqa,75.0,75.0,60.0,25.0,default,36,-165.0,-375.0,210.0,True,0,0,9,6,9,10.284236426999996,10.286867926999548
18,ok,openjij-sqa,75.0,75.0,60.0,30.0,default,36,-156.0,-450.0,294.0,True,0,0,2,13,54,10.309318657000404,10.312018557000556
19,ok,openjij-sqa,75.0,75.0,60.0,35.0,default,36,-216.0,-525.0,309.0,True,0,0,3,12,24,10.58281636600077,10.585316665998107
20,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,36,-304.0,-600.0,296.0,True,0,0,5,10,59,10.222742754001956,10.226556754001649
21,ok,openjij-sqa,100.0,100.0,30.0,20.0,default,36,-68.0,-300.0,232.0,True,0,0,5,10,65,10.125804560000688,10.129476760001126
22,ok,openjij-sqa,100.0,100.0,30.0,25.0,default,36,-165.0,-375.0,210.0,True,0,0,8,7,14,10.307728150000912,10.310462649998954
23,ok,openjij-sqa,100.0,100.0,30.0,30.0,default,36,-276.0,-450.0,174.0,True,0,0,7,8,51,10.159336311000516,10.161850311000308
24,ok,openjij-sqa,100.0,100.0,30.0,35.0,default,36,-397.0,-525.0,128.0,True,0,0,9,6,19,10.330406247998326,10.333208747000754
25,ok,openjij-sqa,100.0,100.0,30.0,40.0,default,36,-342.0,-600.0,258.0,True,0,0,8,7,58,10.20540165499915,10.208104355002433
26,ok,openjij-sqa,100.0,100.0,40.0,20.0,default,36,-140.0,-300.0,160.0,True,0,0,8,7,57,10.284797902000719,10.287559701999271
27,ok,openjij-sqa,100.0,100.0,40.0,25.0,default,36,-250.0,-375.0,125.0,True,0,0,8,7,26,10.400451269000769,10.404607969001518
28,ok,openjij-sqa,100.0,100.0,40.0,30.0,default,36,-274.0,-450.0,176.0,True,0,0,9,6,33,10.13208630599911,10.135028405999037
29,ok,openjij-sqa,100.0,100.0,40.0,35.0,default,36,-333.0,-525.0,192.0,True,0,0,9,6,21,10.216830577999644,10.219424677998177
30,ok,openjij-sqa,100.0,100.0,40.0,40.0,default,36,-408.0,-600.0,192.0,True,0,0,9,6,19,10.215131826997094,10.217717127001379
31,ok,openjij-sqa,100.0,100.0,50.0,20.0,default,36,-50.0,-300.0,250.0,True,0,0,5,10,59,10.209515106998879,10.215168706999975
32,ok,openjij-sqa,100.0,100.0,50.0,25.0,default,36,-125.0,-375.0,250.0,True,0,0,9,6,34,10.185684193998895,10.188177494001138
33,ok,openjij-sqa,100.0,100.0,50.0,30.0,default,36,-126.0,-450.0,324.0,True,0,0,3,12,18,10.525663787997473,10.528836987999966
34,ok,openjij-sqa,100.0,100.0,50.0,35.0,default,36,-398.0,-525.0,127.0,True,0,0,10,5,8,10.461308391000784,10.465586391001125
35,ok,openjij-sqa,100.0,100.0,50.0,40.0,default,36,-316.0,-600.0,284.0,True,0,0,6,9,50,10.55495121399872,10.55786731400076
36,ok,openjij-sqa,100.0,100.0,60.0,20.0,default,36,-16.0,-300.0,284.0,True,0,0,4,11,27,10.37739851600054,10.380694816001778
37,ok,openjij-sqa,100.0,100.0,60.0,25.0,default,36,-150.0,-375.0,225.0,True,0,0,6,9,75,10.409379822998744,10.412062322997372
38,ok,openjij-sqa,100.0,100.0,60.0,30.0,default,36,-234.0,-450.0,216.0,True,0,0,8,7,62,10.537972147998516,10.5405563480017
39,ok,openjij-sqa,100.0,100.0,60.0,35.0,default,36,-265.0,-525.0,260.0,True,0,0,8,7,30,10.384141290000116,10.386770190001698
40,ok,openjij-sqa,100.0,100.0,60.0,40.0,default,36,-368.0,-600.0,232.0,True,0,0,9,6,19,10.452143054000771,10.455586953998136
41,ok,openjij-sqa,150.0,150.0,30.0,20.0,default,36,-214.0,-300.0,86.0,True,0,0,10,5,46,10.69549792199905,10.698027221998927
42,ok,openjij-sqa,150.0,150.0,30.0,25.0,default,36,-165.0,-375.0,210.0,True,0,0,6,9,48,21.369206724000833,21.37181822400089
43,ok,openjij-sqa,150.0,150.0,30.0,30.0,default,36,-192.0,-450.0,258.0,True,0,0,4,11,60,16.620744267998816,16.624390368000604
44,ok,openjij-sqa,150.0,150.0,30.0,35.0,default,36,-167.0,-525.0,358.0,True,0,0,4,11,40,11.11035341599927,11.11347671600015
45,ok,openjij-sqa,150.0,150.0,30.0,40.0,default,36,-294.0,-600.0,306.0,True,0,0,5,10,47,10.287384439998277,10.290560740002547
46,ok,openjij-sqa,150.0,150.0,40.0,20.0,default,36,-44.0,-300.0,256.0,True,0,0,9,6,72,10.69014234199858,10.693445542001427
47,ok,openjij-sqa,150.0,150.0,40.0,25.0,default,36,-65.0,-375.0,310.0,True,0,0,4,11,28,10.405544032000762,10.409130531999836
48,ok,openjij-sqa,150.0,150.0,40.0,30.0,default,36,-162.0,-450.0,288.0,True,0,0,4,11,68,10.344323585999518,10.346982586001104
49,ok,openjij-sqa,150.0,150.0,40.0,35.0,default,36,-277.0,-525.0,248.0,True,0,0,2,13,18,10.654887959997723,10.658892460000061
50,ok,openjij-sqa,150.0,150.0,40.0,40.0,default,36,-176.0,-600.0,424.0,True,0,0,2,13,60,10.221352796001156,10.225340995999431
51,ok,openjij-sqa,150.0,150.0,50.0,20.0,default,36,-38.0,-300.0,262.0,True,0,0,4,11,56,10.335437104997254,10.339379605000431
52,ok,openjij-sqa,150.0,150.0,50.0,25.0,default,36,-15.0,-375.0,360.0,True,0,0,4,11,45,10.34496212799786,10.347491227999853
