case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,100,395,40.0,60.0,20.0,40,-1792.0,-1980.0,188.0,False,False,98,1,0,0,79,19,0,21.360214913,21.379311613000002
2,100,395,40.0,60.0,20.0,41,-1980.0,-1980.0,0.0,True,True,99,0,0,0,99,0,0,19.707991181999997,19.754910982000002
3,100,395,40.0,70.0,20.0,40,-1702.0,-1980.0,278.0,False,False,98,1,1,0,77,21,0,18.623842619999998,18.666337223000006
4,100,395,40.0,70.0,20.0,41,-1648.0,-1980.0,332.0,False,False,98,1,1,1,78,20,0,19.132898184999988,19.172770673000002
5,100,395,40.0,80.0,20.0,40,-1568.0,-1980.0,412.0,False,False,98,1,0,0,41,57,0,19.464643515000006,19.50301581299999
6,100,395,40.0,80.0,20.0,41,-1584.0,-1980.0,396.0,False,False,98,1,2,0,71,27,0,19.076098887,19.112618888
7,100,395,40.0,90.0,20.0,40,-1668.0,-1980.0,312.0,False,False,98,1,0,0,65,33,0,21.366220184,21.407451484000006
8,100,395,40.0,90.0,20.0,41,-1666.0,-1980.0,314.0,False,False,98,1,1,0,76,22,0,19.16529575299998,19.203876156999996
9,100,395,40.0,100.0,20.0,40,-1580.0,-1980.0,400.0,False,False,98,1,0,0,44,54,0,18.962656393000003,19.001104492000024
10,100,395,40.0,100.0,20.0,41,-1592.0,-1980.0,388.0,False,False,98,1,0,0,47,51,0,21.084915845999973,21.120851345999995
11,100,395,50.0,60.0,20.0,40,-1892.0,-1980.0,88.0,False,False,99,0,0,1,93,6,0,19.806468247999987,19.846063947999994
12,100,395,50.0,60.0,20.0,41,-1668.0,-1980.0,312.0,False,False,99,0,1,0,56,43,0,19.707004873999978,19.747139874
13,100,395,50.0,70.0,20.0,40,-1870.0,-1980.0,110.0,False,False,99,0,0,1,94,5,0,20.209473378000013,20.24871957800002
14,100,395,50.0,70.0,20.0,41,-1862.0,-1980.0,118.0,False,False,98,1,0,0,92,6,0,20.57340101799997,20.62469071800001
15,100,395,50.0,80.0,20.0,40,-1606.0,-1980.0,374.0,False,False,98,1,1,0,63,35,0,20.01483635400001,20.05357385399998
16,100,395,50.0,80.0,20.0,41,-1610.0,-1980.0,370.0,False,False,98,1,0,0,50,48,0,18.910191876,18.948435475999986
17,100,395,50.0,90.0,20.0,40,-1610.0,-1980.0,370.0,False,False,98,1,0,0,51,47,0,19.70961261100001,19.75077051100004
18,100,395,50.0,90.0,20.0,41,-1574.0,-1980.0,406.0,False,False,98,1,0,0,51,47,0,17.858804462999956,17.893539163000014
19,100,395,50.0,100.0,20.0,40,-1442.0,-1980.0,538.0,False,False,98,1,1,0,39,59,0,17.472201245000008,17.509384445000023
20,100,395,50.0,100.0,20.0,41,-1582.0,-1980.0,398.0,False,False,98,1,0,0,50,48,0,17.471894011000018,17.507111710999993
21,100,395,60.0,60.0,20.0,40,-1744.0,-1980.0,236.0,False,False,99,0,1,1,78,21,0,18.309607927000002,18.345633126999985
22,100,395,60.0,60.0,20.0,41,-1728.0,-1980.0,252.0,False,False,99,0,0,2,79,20,0,17.803510268000025,17.841591370000003
23,100,395,60.0,70.0,20.0,40,-1756.0,-1980.0,224.0,False,False,99,0,0,2,82,17,0,17.604393489000017,17.63961318700001
24,100,395,60.0,70.0,20.0,41,-1590.0,-1980.0,390.0,False,False,99,0,1,0,49,50,0,19.18607580099996,19.223455101000013
25,100,395,60.0,80.0,20.0,40,-1892.0,-1980.0,88.0,False,False,98,1,0,0,97,1,0,17.587137041000005,17.62504444000001
26,100,395,60.0,80.0,20.0,41,-1732.0,-1980.0,248.0,False,False,98,1,0,0,71,27,0,18.057648981,18.096751481000013
27,100,395,60.0,90.0,20.0,40,-1726.0,-1980.0,254.0,False,False,98,1,1,0,86,12,0,17.81461218200002,17.854287783000075
28,100,395,60.0,90.0,20.0,41,-1592.0,-1980.0,388.0,False,False,98,1,0,0,51,47,0,19.109884969000063,19.145614368999986
29,100,395,60.0,100.0,20.0,40,-1556.0,-1980.0,424.0,False,False,98,1,0,0,43,55,0,17.569321164999906,17.607148964999965
30,100,395,60.0,100.0,20.0,41,-1544.0,-1980.0,436.0,False,False,98,1,0,0,46,52,0,17.769515354000077,17.808957253999893
31,100,395,70.0,60.0,20.0,40,-1716.0,-1980.0,264.0,False,False,99,0,1,1,77,22,0,18.920209467000063,18.957904367000083
32,100,395,70.0,60.0,20.0,41,-1680.0,-1980.0,300.0,False,False,99,0,1,1,71,28,0,17.74756978100004,17.783452982000085
33,100,395,70.0,70.0,20.0,40,-1656.0,-1980.0,324.0,False,False,99,0,1,1,71,28,0,18.16047102699997,18.19806242700008
34,100,395,70.0,70.0,20.0,41,-1616.0,-1980.0,364.0,False,False,99,0,2,0,66,33,0,21.459472633999894,21.497550034000028
35,100,395,70.0,80.0,20.0,40,-1556.0,-1980.0,424.0,False,False,99,0,0,2,58,41,0,22.23054631399998,22.271619114000032
36,100,395,70.0,80.0,20.0,41,-1600.0,-1980.0,380.0,False,False,99,0,1,1,69,30,0,21.84259836399997,21.878705663999995
37,100,395,70.0,90.0,20.0,40,-1980.0,-1980.0,0.0,True,True,99,0,0,0,99,0,0,18.56451256699995,18.609944967000047
38,100,395,70.0,90.0,20.0,41,-1694.0,-1980.0,286.0,False,False,98,1,0,0,70,28,0,19.06344256600005,19.100313865999965
39,100,395,70.0,100.0,20.0,40,-1590.0,-1980.0,390.0,False,False,98,1,0,0,54,44,0,17.667272642000057,17.703515142000015
