case,status,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,length_target,length_penalty,gc_target_fraction,gc_penalty,mi_reward_scale,mi_score_mode,mi_min,mi_max,candidate_adjacent_edges,candidate_jump_edges,candidate_wrong_edges,adjacent_score_mean,jump_score_mean,wrong_score_mean,overlap_gc_method,backend,seed,energy,true_path_available,true_path_energy,energy_gap,ground_hit,valid_edge_path,single_path_layout,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,hard_violation,selected_adjacent_correct,selected_jump_correct,selected_wrong,truth_forward_edges,truth_gap_edges,truth_backward_edges,main_path_nodes,main_path_edges,main_path_start_rank,main_path_end_rank,main_path_missing_reads,main_path_max_jump,full_dna_recoverable,prunable_extra_edges,anneal_sec,total_sec
1,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,40,0.0007220008410513401,True,0.000722005303032347,-4.461981006897986e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,13.249153835000016,13.271191735000002
2,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,41,0.0007220008410513401,True,0.000722005303032347,-4.461981006897986e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.540922486999989,11.563636287000008
3,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,42,0.0007220008410513401,True,0.000722005303032347,-4.461981006897986e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,13.487142143000028,13.51146294299997
4,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,43,0.0007220008410513401,True,0.000722005303032347,-4.461981006897986e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.786514361999934,12.813234362000003
5,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,44,0.0007220008410513401,True,0.000722005303032347,-4.461981006897986e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,10.916821690999996,10.94116809000002
6,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,2.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,40,-109.1259741736576,True,-109.12597417053439,-3.1232048058882356e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,10.978775661999862,11.002265960999921
7,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,2.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,41,-109.1259741736576,True,-109.12597417053439,-3.1232048058882356e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.01969225300013,11.042520553000031
8,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,2.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,42,-109.1259741736576,True,-109.12597417053439,-3.1232048058882356e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.522660506999955,11.547378606999928
9,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,2.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,43,-109.1259741736576,True,-109.12597417053439,-3.1232048058882356e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.360595158000024,11.385391357999879
10,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,2.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,44,-109.1259741736576,True,-109.12597417053439,-3.1232048058882356e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.512247759000047,11.535620059000166
11,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,5.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,40,-272.8160184370354,True,-272.8160184328642,-4.171170076006092e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.241970681999874,11.283393582000144
12,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,5.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,41,-272.8160184370354,True,-272.8160184328642,-4.171170076006092e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.16871593000019,11.19370243000003
13,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,5.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,42,-272.8160184370354,True,-272.8160184328642,-4.171170076006092e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.331040567999935,11.357011568000189
14,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,5.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,43,-272.8160184370354,True,-272.8160184328642,-4.171170076006092e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.677119664000202,11.701904764000119
15,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,5.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,44,-272.8160184370354,True,-272.8160184328642,-4.171170076006092e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,10.305104883000013,10.33018868299996
16,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,40,-545.6327588744462,True,-545.6327588712081,-3.2380285119870678e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,10.402357703999996,10.42739510399997
17,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,41,-545.6327588744462,True,-545.6327588712081,-3.2380285119870678e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,10.515296475000014,10.538121075000163
18,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,42,-545.6327588744462,True,-545.6327588712081,-3.2380285119870678e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,10.347284553999998,10.37103755399994
19,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,43,-545.6327588744462,True,-545.6327588712081,-3.2380285119870678e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,10.445259160000205,10.468785160000152
20,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,44,-545.6327588744462,True,-545.6327588712081,-3.2380285119870678e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,10.253664069000024,10.276434268999992
21,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,20.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,40,-1091.2662397513632,True,-1091.2662397473218,-4.041339707328007e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,10.375180676000127,10.397828575999938
22,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,20.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,41,-1091.2662397513632,True,-1091.2662397473218,-4.041339707328007e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.30288009800006,11.325267597999982
23,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,20.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,42,-1091.2662397513632,True,-1091.2662397473218,-4.041339707328007e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,10.411460311999917,10.434717211999896
24,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,20.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,43,-1091.2662397513632,True,-1091.2662397473218,-4.041339707328007e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,10.24808242600011,10.271663126000021
25,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,20.0,nmi,0.7481858554764013,0.8368199479369209,69,201,0,0.790773160690383,0.7934170534487698,,average,openjij-sqa,44,-1091.2662397513632,True,-1091.2662397473218,-4.041339707328007e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,10.590120706999869,10.613055008000174
