case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,annealer_seed,energy,true_energy,energy_gap,valid,read_violations,position_violations,missing_edge_count,connected_layout,missing_edge_cost,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
37,ok,openjij-sqa,75.0,75.0,100.0,30.0,default,32,41,-142.0,-450.0,308.0,True,0,0,2,False,200.0,8,7,18,4.8295981109986315,4.832069811003748
38,ok,openjij-sqa,75.0,75.0,100.0,30.0,default,32,42,-228.0,-450.0,222.0,False,0,2,2,False,200.0,7,8,16,6.223932609995245,6.226561210001819
39,ok,openjij-sqa,75.0,75.0,100.0,30.0,default,32,43,-138.0,-450.0,312.0,False,0,4,4,False,400.0,8,7,69,10.166214698998374,10.169123198997113
40,ok,openjij-sqa,75.0,75.0,100.0,30.0,default,32,44,-276.0,-450.0,174.0,False,0,2,2,False,200.0,11,4,19,5.2138500759901945,5.216319575993111
41,ok,openjij-sqa,75.0,75.0,100.0,40.0,default,32,40,-370.0,-600.0,230.0,False,0,2,2,False,200.0,8,7,59,4.548547045997111,4.551173045998439
42,ok,openjij-sqa,75.0,75.0,100.0,40.0,default,32,41,-340.0,-600.0,260.0,False,1,3,3,False,300.0,5,10,32,4.8219987569900695,4.8244810570031404
43,ok,openjij-sqa,75.0,75.0,100.0,40.0,default,32,42,-372.0,-600.0,228.0,True,0,0,1,False,100.0,5,10,22,4.529202866004198,4.531912866004859
44,ok,openjij-sqa,75.0,75.0,100.0,40.0,default,32,43,-362.0,-600.0,238.0,False,0,2,1,False,100.0,7,8,17,4.722680942999432,4.725265342989587
45,ok,openjij-sqa,75.0,75.0,100.0,40.0,default,32,44,-260.0,-600.0,340.0,False,0,4,2,False,200.0,7,8,17,4.53092995499901,4.533480055004475
46,ok,openjij-sqa,75.0,75.0,120.0,20.0,default,32,40,12.0,-300.0,312.0,True,0,0,2,False,240.0,10,5,39,4.606856494996464,4.609462794993306
47,ok,openjij-sqa,75.0,75.0,120.0,20.0,default,32,41,-86.0,-300.0,214.0,False,0,2,2,False,240.0,4,11,37,4.461838190996787,4.464288791001309
48,ok,openjij-sqa,75.0,75.0,120.0,20.0,default,32,42,-124.0,-300.0,176.0,True,0,0,1,False,120.0,7,8,27,4.379640307990485,4.382283108003321
49,ok,openjij-sqa,75.0,75.0,120.0,20.0,default,32,43,-108.0,-300.0,192.0,True,0,0,1,False,120.0,8,7,27,4.401546667999355,4.404056668005069
50,ok,openjij-sqa,75.0,75.0,120.0,20.0,default,32,44,-82.0,-300.0,218.0,False,1,1,2,False,240.0,10,5,29,4.577707881006063,4.580513080989476
51,ok,openjij-sqa,75.0,75.0,120.0,30.0,default,32,40,-78.0,-450.0,372.0,False,0,4,3,False,360.0,3,12,73,4.389109769996139,4.391595870009041
52,ok,openjij-sqa,75.0,75.0,120.0,30.0,default,32,41,-114.0,-450.0,336.0,False,0,4,4,False,480.0,5,10,24,4.548862851006561,4.551313650998054
53,ok,openjij-sqa,75.0,75.0,120.0,30.0,default,32,42,-90.0,-450.0,360.0,False,0,2,2,False,240.0,6,9,45,4.408231000998057,4.410747001005802
54,ok,openjij-sqa,75.0,75.0,120.0,30.0,default,32,43,-234.0,-450.0,216.0,False,0,2,1,False,120.0,6,9,22,4.56989358800638,4.572554788013804
55,ok,openjij-sqa,75.0,75.0,120.0,30.0,default,32,44,-60.0,-450.0,390.0,False,0,2,3,False,360.0,5,10,29,4.3628324960009195,4.365373696011375
56,ok,openjij-sqa,75.0,75.0,120.0,40.0,default,32,40,-284.0,-600.0,316.0,False,0,4,2,False,240.0,4,11,47,4.545094765009708,4.562663363991305
57,ok,openjij-sqa,75.0,75.0,120.0,40.0,default,32,41,-330.0,-600.0,270.0,False,0,2,2,False,240.0,5,10,22,5.105584878008813,5.1081759779917775
58,ok,openjij-sqa,75.0,75.0,120.0,40.0,default,32,42,-370.0,-600.0,230.0,False,0,2,2,False,240.0,7,8,21,6.405461681002635,6.409207181000966
59,ok,openjij-sqa,75.0,75.0,120.0,40.0,default,32,43,-368.0,-600.0,232.0,True,0,0,1,False,120.0,6,9,14,8.713535204005893,8.717264603998046
60,ok,openjij-sqa,75.0,75.0,120.0,40.0,default,32,44,-362.0,-600.0,238.0,False,0,2,2,False,240.0,7,8,26,5.051746926998021,5.055164327000966
61,ok,openjij-sqa,100.0,100.0,60.0,20.0,default,32,40,-8.0,-300.0,292.0,True,0,0,3,False,180.0,4,11,56,4.866840367991244,4.869710868006223
62,ok,openjij-sqa,100.0,100.0,60.0,20.0,default,32,41,-164.0,-300.0,136.0,True,0,0,1,False,60.0,7,8,28,4.7874599440110615,4.790017143997829
63,ok,openjij-sqa,100.0,100.0,60.0,20.0,default,32,42,-84.0,-300.0,216.0,True,0,0,2,False,120.0,7,8,34,5.517296236997936,5.519948037006543
64,ok,openjij-sqa,100.0,100.0,60.0,20.0,default,32,43,-44.0,-300.0,256.0,True,0,0,3,False,180.0,10,5,62,4.7179098159977,4.720390915987082
65,ok,openjij-sqa,100.0,100.0,60.0,20.0,default,32,44,-116.0,-300.0,184.0,True,0,0,2,False,120.0,9,6,28,5.706886208994547,5.709462109007291
66,ok,openjij-sqa,100.0,100.0,60.0,30.0,default,32,40,-144.0,-450.0,306.0,True,0,0,3,False,180.0,9,6,49,4.893562520999694,4.896077822006191
67,ok,openjij-sqa,100.0,100.0,60.0,30.0,default,32,41,-216.0,-450.0,234.0,True,0,0,2,False,120.0,7,8,45,11.850544311004342,11.853154411001015
68,ok,openjij-sqa,100.0,100.0,60.0,30.0,default,32,42,-306.0,-450.0,144.0,True,0,0,1,False,60.0,7,8,38,14.587245282993536,14.589935982992756
69,ok,openjij-sqa,100.0,100.0,60.0,30.0,default,32,43,-288.0,-450.0,162.0,True,0,0,1,False,60.0,6,9,27,6.410408416995779,6.413225816999329
70,ok,openjij-sqa,100.0,100.0,60.0,30.0,default,32,44,-222.0,-450.0,228.0,True,0,0,2,False,120.0,8,7,27,4.790982734004501,4.793586933999904
71,ok,openjij-sqa,100.0,100.0,60.0,40.0,default,32,40,-304.0,-600.0,296.0,True,0,0,2,False,120.0,6,9,49,4.805804507996072,4.8085659079952165
72,ok,openjij-sqa,100.0,100.0,60.0,40.0,default,32,41,-304.0,-600.0,296.0,True,0,0,2,False,120.0,7,8,44,4.81552406999981,4.818089070002316
73,ok,openjij-sqa,100.0,100.0,60.0,40.0,default,32,42,-460.0,-600.0,140.0,True,0,0,1,False,60.0,10,5,51,8.321079461005866,8.32418476100429
74,ok,openjij-sqa,100.0,100.0,60.0,40.0,default,32,43,-420.0,-600.0,180.0,True,0,0,1,False,60.0,8,7,20,8.422974734989111,8.427459934988292
75,ok,openjij-sqa,100.0,100.0,60.0,40.0,default,32,44,-348.0,-600.0,252.0,False,1,1,2,False,120.0,10,5,62,6.156694819001132,6.159751518993289
76,ok,openjij-sqa,100.0,100.0,80.0,20.0,default,32,40,-60.0,-300.0,240.0,True,0,0,2,False,160.0,7,8,52,4.692776796990074,4.695468896999955
77,ok,openjij-sqa,100.0,100.0,80.0,20.0,default,32,41,40.0,-300.0,340.0,True,0,0,3,False,240.0,6,9,63,5.014964894988225,5.0181855949922465
78,ok,openjij-sqa,100.0,100.0,80.0,20.0,default,32,42,-48.0,-300.0,252.0,True,0,0,2,False,160.0,5,10,55,4.997353690996533,4.999928891003947
79,ok,openjij-sqa,100.0,100.0,80.0,20.0,default,32,43,-164.0,-300.0,136.0,True,0,0,1,False,80.0,9,6,21,5.4511036859912565,5.454007185995579
80,ok,openjij-sqa,100.0,100.0,80.0,20.0,default,32,44,24.0,-300.0,324.0,False,0,2,3,False,240.0,8,7,20,5.136877398006618,5.139835597990896
81,ok,openjij-sqa,100.0,100.0,80.0,30.0,default,32,40,-160.0,-450.0,290.0,False,0,2,2,False,160.0,4,11,29,4.93247053300729,4.935240233011427
82,ok,openjij-sqa,100.0,100.0,80.0,30.0,default,32,41,-164.0,-450.0,286.0,True,0,0,2,False,160.0,7,8,45,4.821635107000475,4.824761807001778
83,ok,openjij-sqa,100.0,100.0,80.0,30.0,default,32,42,-176.0,-450.0,274.0,True,0,0,2,False,160.0,7,8,70,5.5030625899962615,5.50567969000258
84,ok,openjij-sqa,100.0,100.0,80.0,30.0,default,32,43,-152.0,-450.0,298.0,True,0,0,2,False,160.0,3,12,41,5.007719889996224,5.010348890005844
85,ok,openjij-sqa,100.0,100.0,80.0,30.0,default,32,44,-194.0,-450.0,256.0,True,0,0,2,False,160.0,8,7,69,5.068172192011843,5.070687792001991
86,ok,openjij-sqa,100.0,100.0,80.0,40.0,default,32,40,-384.0,-600.0,216.0,True,0,0,1,False,80.0,5,10,35,4.698988294010633,4.701922193999053
87,ok,openjij-sqa,100.0,100.0,80.0,40.0,default,32,41,-368.0,-600.0,232.0,True,0,0,1,False,80.0,5,10,24,4.737067249996471,4.739561249996768
88,ok,openjij-sqa,100.0,100.0,80.0,40.0,default,32,42,-288.0,-600.0,312.0,True,0,0,2,False,160.0,8,7,27,4.682796659995802,4.685293059999822
89,ok,openjij-sqa,100.0,100.0,80.0,40.0,default,32,43,-376.0,-600.0,224.0,True,0,0,1,False,80.0,5,10,34,4.987189163002768,4.990200063009979
90,ok,openjij-sqa,100.0,100.0,80.0,40.0,default,32,44,-256.0,-600.0,344.0,True,0,0,2,False,160.0,6,9,45,4.998063527993509,5.0005720279878005
91,ok,openjij-sqa,100.0,100.0,100.0,20.0,default,32,40,-128.0,-300.0,172.0,True,0,0,1,False,100.0,6,9,34,4.816193597012898,4.818822597007966
92,ok,openjij-sqa,100.0,100.0,100.0,20.0,default,32,41,-8.0,-300.0,292.0,True,0,0,2,False,200.0,7,8,59,4.749023687996669,4.751550987988594
93,ok,openjij-sqa,100.0,100.0,100.0,20.0,default,32,42,-20.0,-300.0,280.0,True,0,0,2,False,200.0,7,8,23,4.877515788990422,4.880094888998428
94,ok,openjij-sqa,100.0,100.0,100.0,20.0,default,32,43,-148.0,-300.0,152.0,True,0,0,1,False,100.0,10,5,11,4.854743494986906,4.85738009501074
95,ok,openjij-sqa,100.0,100.0,100.0,20.0,default,32,44,-16.0,-300.0,284.0,True,0,0,2,False,200.0,6,9,55,4.723375493995263,4.726160093996441
96,ok,openjij-sqa,100.0,100.0,100.0,30.0,default,32,40,-130.0,-450.0,320.0,True,0,0,2,False,200.0,7,8,15,4.770994892998715,4.773899592997623
97,ok,openjij-sqa,100.0,100.0,100.0,30.0,default,32,41,-88.0,-450.0,362.0,True,0,0,2,False,200.0,6,9,46,4.673092794007971,4.675674993995926
98,ok,openjij-sqa,100.0,100.0,100.0,30.0,default,32,42,-124.0,-450.0,326.0,True,0,0,2,False,200.0,7,8,22,4.749588795006275,4.752163994999137
99,ok,openjij-sqa,100.0,100.0,100.0,30.0,default,32,43,-18.0,-450.0,432.0,True,0,0,3,False,300.0,6,9,16,4.737883502006298,4.74030380199838
100,ok,openjij-sqa,100.0,100.0,100.0,30.0,default,32,44,-130.0,-450.0,320.0,True,0,0,2,False,200.0,8,7,35,4.775710000991239,4.7781752010050695
101,ok,openjij-sqa,100.0,100.0,100.0,40.0,default,32,40,-196.0,-600.0,404.0,False,0,2,3,False,300.0,7,8,69,4.63514589999977,4.637969899995369
102,ok,openjij-sqa,100.0,100.0,100.0,40.0,default,32,41,-196.0,-600.0,404.0,False,0,2,3,False,300.0,7,8,33,4.892849348994787,4.895556549003231
103,ok,openjij-sqa,100.0,100.0,100.0,40.0,default,32,42,-280.0,-600.0,320.0,True,0,0,2,False,200.0,10,5,15,4.76002545299707,4.762520453004981
104,ok,openjij-sqa,100.0,100.0,100.0,40.0,default,32,43,-396.0,-600.0,204.0,True,0,0,1,False,100.0,7,8,12,4.68951810899307,4.70749420899665
105,ok,openjij-sqa,100.0,100.0,100.0,40.0,default,32,44,-208.0,-600.0,392.0,True,0,0,2,False,200.0,5,10,16,4.715693211997859,4.718305711998255
106,ok,openjij-sqa,100.0,100.0,120.0,20.0,default,32,40,52.0,-300.0,352.0,True,0,0,2,False,240.0,6,9,37,4.87082281599578,4.8733771160041215
107,ok,openjij-sqa,100.0,100.0,120.0,20.0,default,32,41,-124.0,-300.0,176.0,True,0,0,1,False,120.0,10,5,14,4.854057003991329,4.856582904001698
108,ok,openjij-sqa,100.0,100.0,120.0,20.0,default,32,42,-116.0,-300.0,184.0,True,0,0,1,False,120.0,8,7,23,4.81711560000258,4.8197403000085615
109,ok,openjij-sqa,100.0,100.0,120.0,20.0,default,32,43,-144.0,-300.0,156.0,True,0,0,1,False,120.0,12,3,3,5.0484719009982655,5.05098720100068
110,ok,openjij-sqa,100.0,100.0,120.0,20.0,default,32,44,-112.0,-300.0,188.0,True,0,0,1,False,120.0,3,12,29,5.51221160600835,5.514753605995793
111,ok,openjij-sqa,100.0,100.0,120.0,30.0,default,32,40,-96.0,-450.0,354.0,True,0,0,2,False,240.0,5,10,48,6.31198180798674,6.3145105080038775
112,ok,openjij-sqa,100.0,100.0,120.0,30.0,default,32,41,-58.0,-450.0,392.0,False,0,2,3,False,360.0,8,7,57,8.316935305003426,8.319426604997716
113,ok,openjij-sqa,100.0,100.0,120.0,30.0,default,32,42,-160.0,-450.0,290.0,False,0,2,2,False,240.0,8,7,37,5.3575753000041,5.360701700003119
114,ok,openjij-sqa,100.0,100.0,120.0,30.0,default,32,43,-240.0,-450.0,210.0,True,0,0,1,False,120.0,7,8,18,5.071608899990679,5.074249099998269
115,ok,openjij-sqa,100.0,100.0,120.0,30.0,default,32,44,-154.0,-450.0,296.0,False,0,2,2,False,240.0,7,8,32,4.816556204008521,4.819219604003592
116,ok,openjij-sqa,100.0,100.0,120.0,40.0,default,32,40,-304.0,-600.0,296.0,False,0,2,2,False,240.0,9,6,48,5.039217619996634,5.044182619996718
117,ok,openjij-sqa,100.0,100.0,120.0,40.0,default,32,41,-328.0,-600.0,272.0,True,0,0,1,False,120.0,4,11,23,5.141117789011332,5.1436926890019095
118,ok,openjij-sqa,100.0,100.0,120.0,40.0,default,32,42,-384.0,-600.0,216.0,True,0,0,1,False,120.0,10,5,53,5.280927325002267,5.283572025000467
119,ok,openjij-sqa,100.0,100.0,120.0,40.0,default,32,43,-224.0,-600.0,376.0,True,0,0,2,False,240.0,8,7,45,6.5281835200003115,6.531456220007385
120,ok,openjij-sqa,100.0,100.0,120.0,40.0,default,32,44,-216.0,-600.0,384.0,True,0,0,2,False,240.0,7,8,6,5.614212464992306,5.617317064999952
