case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,95,all,374,564,1975,60.0,120.0,10.0,20.0,40,-1440.0,-1870.0,430.0,False,True,False,4,91,0,0,0,0,0,0,39,52,0,6.376323001000856,6.37831850099974
2,95,all,374,564,1975,60.0,120.0,10.0,20.0,41,-1546.0,-1870.0,324.0,False,True,False,3,92,0,0,0,0,0,0,49,43,0,3.8515006490015367,3.853444648000732
3,95,all,374,564,1975,60.0,120.0,10.0,20.0,42,-1490.0,-1870.0,380.0,False,True,False,7,88,0,0,0,0,0,0,59,29,0,3.7907209760014666,3.7925848760023655
4,95,all,374,564,1975,60.0,120.0,20.0,20.0,40,-1452.0,-1860.0,408.0,False,True,False,3,92,0,0,0,0,0,0,42,50,0,3.974774805999914,3.976668303999759
5,95,all,374,564,1975,60.0,120.0,20.0,20.0,41,-1456.0,-1860.0,404.0,False,True,False,5,90,0,0,0,0,0,0,49,41,0,3.890900689002592,3.8927390889984963
6,95,all,374,564,1975,60.0,120.0,20.0,20.0,42,-1556.0,-1860.0,304.0,False,True,False,2,93,0,0,0,0,0,0,54,39,0,4.11301648400331,4.114919084000576
7,95,all,374,564,1975,60.0,120.0,40.0,20.0,40,-1444.0,-1840.0,396.0,False,True,False,2,93,0,0,0,0,0,0,36,57,0,4.059389129997726,4.061469731001125
8,95,all,374,564,1975,60.0,120.0,40.0,20.0,41,-1452.0,-1840.0,388.0,False,False,False,1,94,0,1,0,1,0,39,43,51,0,3.8085710419982206,3.8115578440010722
9,95,all,374,564,1975,60.0,120.0,40.0,20.0,42,-1468.0,-1840.0,372.0,False,False,False,1,94,0,1,0,1,0,34,54,40,0,3.801040499998635,3.80300539900054
10,95,all,374,564,1975,80.0,120.0,10.0,20.0,40,-1268.0,-1870.0,602.0,False,True,False,8,87,0,0,0,0,0,0,30,57,0,3.847795457000757,3.8498133569992206
11,95,all,374,564,1975,80.0,120.0,10.0,20.0,41,-1434.0,-1870.0,436.0,False,True,False,7,88,0,0,0,0,0,0,50,38,0,3.7434081669998704,3.7453395669981546
12,95,all,374,564,1975,80.0,120.0,10.0,20.0,42,-1426.0,-1870.0,444.0,False,True,False,3,92,0,0,0,0,0,0,29,63,0,3.758627855000668,3.760725154999818
13,95,all,374,564,1975,80.0,120.0,20.0,20.0,40,-1416.0,-1860.0,444.0,False,True,False,3,92,0,0,0,0,0,0,36,56,0,3.8379484649994993,3.8397745649999706
14,95,all,374,564,1975,80.0,120.0,20.0,20.0,41,-1440.0,-1860.0,420.0,False,True,False,5,90,0,0,0,0,0,0,49,41,0,3.8625680990007822,3.8644939990008425
15,95,all,374,564,1975,80.0,120.0,20.0,20.0,42,-1460.0,-1860.0,400.0,False,True,False,2,93,0,0,0,0,0,0,37,56,0,4.0484107449992734,4.0502308450013516
16,95,all,374,564,1975,80.0,120.0,40.0,20.0,40,-1444.0,-1840.0,396.0,False,True,False,4,91,0,0,0,0,0,0,52,39,0,4.386094148001575,4.388541447002353
17,95,all,374,564,1975,80.0,120.0,40.0,20.0,41,-1432.0,-1840.0,408.0,False,True,False,3,92,0,0,0,0,0,0,39,53,0,4.665723588997935,4.667664789001719
18,95,all,374,564,1975,80.0,120.0,40.0,20.0,42,-1444.0,-1840.0,396.0,False,True,False,3,92,0,0,0,0,0,0,54,38,0,3.921635000999231,3.9238397010012704
19,95,all,374,564,1975,100.0,120.0,10.0,20.0,40,-1378.0,-1870.0,492.0,False,True,False,7,88,0,0,0,0,0,0,41,47,0,4.046505639998941,4.049773540002207
20,95,all,374,564,1975,100.0,120.0,10.0,20.0,41,-1348.0,-1870.0,522.0,False,True,False,6,89,0,0,0,0,0,0,37,52,0,3.768272089000675,3.7701911889998883
21,95,all,374,564,1975,100.0,120.0,10.0,20.0,42,-1312.0,-1870.0,558.0,False,True,False,8,87,0,0,0,0,0,0,38,49,0,4.07142591199954,4.073296812999615
22,95,all,374,564,1975,100.0,120.0,20.0,20.0,40,-1272.0,-1860.0,588.0,False,True,False,6,89,0,0,0,0,0,0,30,59,0,4.174174192001374,4.176614092000818
23,95,all,374,564,1975,100.0,120.0,20.0,20.0,41,-1396.0,-1860.0,464.0,False,True,False,5,90,0,0,0,0,0,0,40,50,0,4.6623267750001105,4.664162975001091
24,95,all,374,564,1975,100.0,120.0,20.0,20.0,42,-1344.0,-1860.0,516.0,False,True,False,6,89,0,0,0,0,0,0,41,48,0,3.827020240998536,3.82887694099918
25,95,all,374,564,1975,100.0,120.0,40.0,20.0,40,-1344.0,-1840.0,496.0,False,True,False,3,92,0,0,0,0,0,0,36,56,0,3.8586214280003333,3.8608135280010174
26,95,all,374,564,1975,100.0,120.0,40.0,20.0,41,-1352.0,-1840.0,488.0,False,True,False,3,92,0,0,0,0,0,0,38,54,0,3.7936535160006315,3.796150015998137
27,95,all,374,564,1975,100.0,120.0,40.0,20.0,42,-1360.0,-1840.0,480.0,False,True,False,3,92,0,0,0,0,0,0,39,53,0,3.774448370000755,3.7763176699991163
