case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,75.0,75.0,30.0,20.0,default,32,-110.0,-300.0,190.0,True,0,0,6,9,36,15.745275761000812,15.7474067630028
2,ok,openjij-sqa,75.0,75.0,30.0,25.0,default,32,-220.0,-375.0,155.0,True,0,0,8,7,54,13.33711523799866,13.355171918999986
3,ok,openjij-sqa,75.0,75.0,30.0,30.0,default,32,-378.0,-450.0,72.0,True,0,0,12,3,54,14.294881157002237,14.29735145700397
4,ok,openjij-sqa,75.0,75.0,30.0,35.0,default,32,-316.0,-525.0,209.0,True,0,0,11,4,88,13.55833484500181,13.560944044998905
5,ok,openjij-sqa,75.0,75.0,30.0,40.0,default,32,-426.0,-600.0,174.0,True,0,0,6,9,45,12.972471654000401,12.97496205400239
6,ok,openjij-sqa,75.0,75.0,40.0,20.0,default,32,-124.0,-300.0,176.0,True,0,0,5,10,34,13.307559338994906,13.310361139003362
7,ok,openjij-sqa,75.0,75.0,40.0,25.0,default,32,-180.0,-375.0,195.0,True,0,0,7,8,50,12.839905173997977,12.842431274002593
8,ok,openjij-sqa,75.0,75.0,40.0,30.0,default,32,-162.0,-450.0,288.0,True,0,0,3,12,19,13.444274742003472,13.446797842996602
9,ok,openjij-sqa,75.0,75.0,40.0,35.0,default,32,-298.0,-525.0,227.0,True,0,0,5,10,11,12.682259540000814,12.68476814099995
10,ok,openjij-sqa,75.0,75.0,40.0,40.0,default,32,-368.0,-600.0,232.0,True,0,0,6,9,53,16.898932552001497,16.901439351997396
11,ok,openjij-sqa,75.0,75.0,50.0,20.0,default,32,-120.0,-300.0,180.0,True,0,0,6,9,13,12.911554968006385,12.914088166995498
12,ok,openjij-sqa,75.0,75.0,50.0,25.0,default,32,-110.0,-375.0,265.0,True,0,0,8,7,34,12.498046403001354,12.500750802995753
13,ok,openjij-sqa,75.0,75.0,50.0,30.0,default,32,-304.0,-450.0,146.0,True,0,0,4,11,19,13.147099719004473,13.149673918996996
14,ok,openjij-sqa,75.0,75.0,50.0,35.0,default,32,-299.0,-525.0,226.0,True,0,0,8,7,59,12.973242908999964,12.976142109000648
15,ok,openjij-sqa,75.0,75.0,50.0,40.0,default,32,-324.0,-600.0,276.0,True,0,0,2,13,15,38.68018055200082,38.68282985199767
16,ok,openjij-sqa,75.0,75.0,60.0,20.0,default,32,-172.0,-300.0,128.0,True,0,0,5,10,38,14.045282408995263,14.048153509000258
17,ok,openjij-sqa,75.0,75.0,60.0,25.0,default,32,-250.0,-375.0,125.0,True,0,0,9,6,30,17.601454561998253,17.604234462000022
18,ok,openjij-sqa,75.0,75.0,60.0,30.0,default,32,-168.0,-450.0,282.0,False,0,2,7,8,19,13.68839935700089,13.692166856999393
19,ok,openjij-sqa,75.0,75.0,60.0,35.0,default,32,-360.0,-525.0,165.0,True,0,0,7,8,29,13.083532656994066,13.086463757004822
20,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,32,-288.0,-600.0,312.0,True,0,0,4,11,13,13.706144315998245,13.708664115998545
21,ok,openjij-sqa,100.0,100.0,30.0,20.0,default,32,-90.0,-300.0,210.0,True,0,0,5,10,32,12.902506215999892,12.905772815996897
22,ok,openjij-sqa,100.0,100.0,30.0,25.0,default,32,-190.0,-375.0,185.0,True,0,0,4,11,41,13.089099682998494,13.092626382996968
23,ok,openjij-sqa,100.0,100.0,30.0,30.0,default,32,-360.0,-450.0,90.0,True,0,0,10,5,34,12.570296539997798,12.572850939999626
24,ok,openjij-sqa,100.0,100.0,30.0,35.0,default,32,-383.0,-525.0,142.0,True,0,0,8,7,36,13.57650323400594,13.579020933997526
25,ok,openjij-sqa,100.0,100.0,30.0,40.0,default,32,-426.0,-600.0,174.0,True,0,0,8,7,31,13.444520407996606,13.447184507997008
