case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_gamma,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,45.0,40,-1529.9999999999927,-1530.0,7.275957614183426e-12,True,True,True,1,34,0,0,0,0,0,0,34,0,0,20.46930769800383,20.469979797999258
2,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,45.0,41,-1529.9999999999927,-1530.0,7.275957614183426e-12,True,True,True,1,34,0,0,0,0,0,0,34,0,0,18.894059469996137,18.89491576999717
3,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,45.0,42,-1242.9999999999927,-1530.0,287.0000000000073,False,True,False,2,33,0,0,0,0,0,0,27,6,0,18.529831984997145,18.53060768499563
4,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,45.0,43,-1529.9999999999927,-1530.0,7.275957614183426e-12,True,True,True,1,34,0,0,0,0,0,0,34,0,0,18.68531341999187,18.68615831999341
5,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,45.0,44,-1529.9999999999927,-1530.0,7.275957614183426e-12,True,True,True,1,34,0,0,0,0,0,0,34,0,0,18.60319756901299,18.60427226900356
6,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,45.0,40,-1377.599999999993,-1530.0,152.4000000000069,False,False,False,1,34,0,1,0,1,0,1,32,2,0,18.596846765998635,18.597660865998478
7,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,45.0,41,-1377.5999999999913,-1530.0,152.40000000000873,False,False,False,1,34,0,1,0,1,0,1,32,2,0,19.462644765008008,19.463484464999055
8,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,45.0,42,-1186.799999999992,-1530.0,343.200000000008,False,False,False,1,34,0,1,0,1,0,9,26,8,0,18.539325505000306,18.540522504990804
9,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,45.0,43,-1393.799999999992,-1530.0,136.200000000008,False,False,False,1,34,0,1,0,1,0,12,33,1,0,14.98279731599905,14.983714515998145
10,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,45.0,44,-1529.9999999999927,-1530.0,7.275957614183426e-12,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.2115282000013394,3.212363099999493
