case,status,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,length_target,length_penalty,gc_target_fraction,gc_penalty,mi_reward_scale,mi_score_mode,mi_min,mi_max,candidate_adjacent_edges,candidate_jump_edges,candidate_wrong_edges,adjacent_score_mean,jump_score_mean,wrong_score_mean,overlap_gc_method,backend,seed,energy,true_path_available,true_path_energy,energy_gap,ground_hit,valid_edge_path,single_path_layout,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,hard_violation,selected_adjacent_correct,selected_jump_correct,selected_wrong,truth_forward_edges,truth_gap_edges,truth_backward_edges,main_path_nodes,main_path_edges,main_path_start_rank,main_path_end_rank,main_path_missing_reads,main_path_max_jump,full_dna_recoverable,prunable_extra_edges,anneal_sec,total_sec
13,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,2.5,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,42,-264.1188893751241,True,-264.11888937165145,-3.4726781450444832e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.922958396000013,11.95178239500001
14,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,2.5,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,43,-264.1188893751241,True,-264.11888937165145,-3.4726781450444832e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.088606088000006,12.116371882000067
15,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,2.5,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,44,-264.1188893751241,True,-264.11888937165145,-3.4726781450444832e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.167876371000148,12.192228771000146
16,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,5.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,40,-528.238500752952,True,-528.2385007479677,-4.98425833939109e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.110352651999847,12.1345329520002
17,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,5.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,41,-528.238500752952,True,-528.2385007479677,-4.98425833939109e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.135954490000131,12.160485590000008
18,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,5.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,42,-528.238500752952,True,-528.2385007479677,-4.98425833939109e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.139358782000045,12.165362481999864
19,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,5.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,43,-528.238500752952,True,-528.2385007479677,-4.98425833939109e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.465752993000024,12.490714393999951
20,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,5.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,44,-528.238500752952,True,-528.2385007479677,-4.98425833939109e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.14296775799994,12.168279958000085
21,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,40,-1056.4777235060465,True,-1056.477723501423,-4.623416316462681e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.04026727900009,12.0656463790001
22,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,41,-1056.4777235060465,True,-1056.477723501423,-4.623416316462681e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.27471959799982,12.300273097999934
23,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,42,-1056.4777235060465,True,-1056.477723501423,-4.623416316462681e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,13.412988710000036,13.437406908999947
24,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,43,-1056.4777235060465,True,-1056.477723501423,-4.623416316462681e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,13.870725447999803,13.896497748000002
25,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,44,-1056.4777235060465,True,-1056.477723501423,-4.623416316462681e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.275812207000172,12.302761106999924
