case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,69,577,160.0,180.0,20.0,42,-1089.0909090924542,-1360.0,270.90909090754576,False,False,68,0,1,0,40,28,0,28.1957567190002,28.225512418999642
2,69,577,160.0,180.0,20.0,43,-1085.4545454559848,-1360.0,274.54545454401523,False,False,67,1,0,0,35,32,0,26.324968644001274,26.367614844000855
3,69,577,160.0,180.0,20.0,44,-898.181818182813,-1360.0,461.818181817187,False,False,67,1,0,1,43,24,0,26.74277613599952,26.80316313200092
4,69,577,160.0,200.0,20.0,42,-869.0909090922214,-1360.0,490.9090909077786,False,False,67,1,1,0,38,29,0,27.177281737000158,27.21603781599879
5,69,577,160.0,200.0,20.0,43,-832.7272727282252,-1360.0,527.2727272717748,False,False,67,1,1,0,23,44,0,26.48157747500045,26.51920067500032
6,69,577,160.0,200.0,20.0,44,-658.181818182813,-1360.0,701.818181817187,False,False,67,1,2,0,33,34,0,26.82893529699868,26.86559339700034
7,69,577,160.0,220.0,20.0,42,-801.8181818190496,-1360.0,558.1818181809504,False,False,67,1,0,1,27,40,0,27.43881489799969,27.492298799999844
8,69,577,160.0,220.0,20.0,43,-790.9090909103397,-1360.0,569.0909090896603,False,False,67,1,1,0,26,41,0,26.631858343000204,26.66890164399956
9,69,577,160.0,220.0,20.0,44,-787.2727272736374,-1360.0,572.7272727263626,False,False,67,1,1,0,27,40,0,26.180283252000663,26.234686653000608
10,69,577,180.0,180.0,20.0,42,-843.6363636408933,-1360.0,516.3636363591067,False,False,68,0,0,2,43,25,0,26.356019028000446,26.39164122799957
11,69,577,180.0,180.0,20.0,43,-867.2727272778284,-1360.0,492.7272727221716,False,False,68,0,2,0,30,38,0,26.290483642000254,26.344515442000557
12,69,577,180.0,180.0,20.0,44,-876.36363636842,-1360.0,483.63636363158,False,False,68,0,1,1,37,31,0,26.103897742999834,26.139352742999108
13,69,577,180.0,200.0,20.0,42,-1080.0000000046566,-1360.0,279.9999999953434,False,False,68,0,1,0,43,25,0,26.1384825490004,26.19317424900146
14,69,577,180.0,200.0,20.0,43,-1107.2727272775955,-1360.0,252.72727272240445,False,False,68,0,0,1,50,18,0,26.156072605999725,26.19121570599964
15,69,577,180.0,200.0,20.0,44,-1065.4545454594772,-1360.0,294.54545454052277,False,False,68,0,0,1,42,26,0,26.129355972001576,26.16475857200021
16,69,577,180.0,220.0,20.0,42,-758.1818181860726,-1360.0,601.8181818139274,False,False,67,1,0,1,28,39,0,26.020371612999952,26.074650213000496
17,69,577,180.0,220.0,20.0,43,-769.0909090957139,-1360.0,590.9090909042861,False,False,67,1,0,1,32,35,0,26.399264687999676,26.434657088000677
18,69,577,180.0,220.0,20.0,44,-810.909090914065,-1360.0,549.090909085935,False,False,67,1,1,0,31,36,0,26.148370490998786,26.183965690999685
19,69,577,200.0,180.0,20.0,42,-854.5454545491375,-1360.0,505.4545454508625,False,False,68,0,0,2,42,26,0,27.04080057399915,27.09595167400039
20,69,577,200.0,180.0,20.0,43,-814.5454545489047,-1360.0,545.4545454510953,False,False,68,0,1,1,31,37,0,26.256469374000517,26.29183517400088
21,69,577,200.0,180.0,20.0,44,-605.4545454587787,-1360.0,754.5454545412213,False,False,68,0,2,1,24,44,0,27.27546679000079,27.33079729000019
22,69,577,200.0,200.0,20.0,42,-1052.7272727310192,-1360.0,307.2727272689808,False,False,68,0,1,0,39,29,0,26.708607534001203,26.74330903400005
23,69,577,200.0,200.0,20.0,43,-1072.727272731252,-1360.0,287.272727268748,False,False,68,0,0,1,44,24,0,26.61924651300069,26.675941512999998
24,69,577,200.0,200.0,20.0,44,-823.6363636401948,-1360.0,536.3636363598052,False,False,68,0,1,1,35,33,0,27.035831411998515,27.07204161200025
25,69,577,200.0,220.0,20.0,42,-1089.0909090950154,-1360.0,270.9090909049846,False,False,67,1,0,0,48,19,0,26.626181184001325,26.662644284000635
26,69,577,200.0,220.0,20.0,43,-1065.4545454580802,-1360.0,294.54545454191975,False,False,67,1,0,0,43,24,0,27.25061371299853,27.304459412000142
27,69,577,200.0,220.0,20.0,44,-1072.7272727305535,-1360.0,287.2727272694465,False,False,67,1,0,0,48,19,0,26.918209441999352,26.95373954199931
