case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_gamma,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,40.0,40,-1206.4000000000142,-1360.0,153.5999999999858,False,True,False,2,33,0,0,0,0,0,0,32,1,0,59.145754463999765,59.146529063000344
2,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,40.0,41,-1126.4000000000142,-1360.0,233.5999999999858,False,False,False,1,34,0,1,0,1,0,19,29,5,0,57.51993157099059,57.520723171008285
3,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,40.0,42,-1200.0000000000146,-1360.0,159.99999999998545,False,True,False,2,33,0,0,0,0,0,0,31,2,0,56.853150345006725,56.853940644999966
4,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,40.0,43,-988.8000000000156,-1360.0,371.19999999998436,False,False,False,2,33,0,1,0,1,0,15,26,7,0,56.75389645900577,56.75487535899447
5,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,40.0,44,-1360.0000000000146,-1360.0,-1.4551915228366852e-11,True,True,True,1,34,0,0,0,0,0,0,34,0,0,59.135020100991824,59.13583000098879
6,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,40.0,40,-1360.0,-1360.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,58.008129523004754,58.00894852299825
7,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,40.0,41,-1166.3999999999996,-1360.0,193.60000000000036,False,False,False,1,34,0,1,0,1,0,23,31,3,0,58.677370645993506,58.67815744600375
8,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,40.0,42,-1360.0,-1360.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,59.053717830000096,59.05725232999248
9,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,40.0,43,-1211.2000000000007,-1360.0,148.79999999999927,False,False,False,1,34,0,1,0,1,0,1,32,2,0,58.91914913099026,58.91995383100584
10,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,40.0,44,-1360.0,-1360.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,55.136228040995775,55.13778664100391
