case,status,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,length_target,length_penalty,gc_target_fraction,gc_penalty,mi_reward_scale,mi_score_mode,mi_min,mi_max,candidate_adjacent_edges,candidate_jump_edges,candidate_wrong_edges,adjacent_score_mean,jump_score_mean,wrong_score_mean,overlap_gc_method,backend,seed,energy,true_path_available,true_path_energy,energy_gap,ground_hit,valid_edge_path,single_path_layout,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,hard_violation,selected_adjacent_correct,selected_jump_correct,selected_wrong,truth_forward_edges,truth_gap_edges,truth_backward_edges,main_path_nodes,main_path_edges,main_path_start_rank,main_path_end_rank,main_path_missing_reads,main_path_max_jump,full_dna_recoverable,prunable_extra_edges,anneal_sec,total_sec
1,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,40,1.7999671399593353e-05,True,1.8001497664954513e-05,-1.82626536116004e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,14.410236554999983,14.431783553999992
2,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,41,1.7999671399593353e-05,True,1.8001497664954513e-05,-1.82626536116004e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.972177009999996,11.998488010000017
3,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,42,1.7999671399593353e-05,True,1.8001497664954513e-05,-1.82626536116004e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.941441300999998,11.968047201000047
4,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,43,1.7999671399593353e-05,True,1.8001497664954513e-05,-1.82626536116004e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.127944304999971,12.153508805000001
5,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,44,1.7999671399593353e-05,True,1.8001497664954513e-05,-1.82626536116004e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.007702327000004,12.035524527000007
6,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,2.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,40,-117.15060850395821,True,-117.15060850236478,-1.5934347175061703e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.41614978399997,12.441389284000024
7,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,2.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,41,-117.15060850395821,True,-117.15060850236478,-1.5934347175061703e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,13.89735625100002,13.923725750000017
8,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,2.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,42,-117.15060850395821,True,-117.15060850236478,-1.5934347175061703e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,13.015154116999952,13.040662915999974
9,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,2.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,43,-117.15060850395821,True,-117.15060850236478,-1.5934347175061703e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.516117547000022,12.543108947000064
10,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,2.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,44,-117.15060850395821,True,-117.15060850236478,-1.5934347175061703e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,13.843312352999988,13.869184252999958
11,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,5.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,40,-292.8765482599847,True,-292.87654825827485,-1.709850039333105e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.840145218999965,12.87313041899995
12,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,5.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,41,-292.8765482599847,True,-292.87654825827485,-1.709850039333105e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.639769487999956,12.66640168799995
13,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,5.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,42,-292.8765482599847,True,-292.87654825827485,-1.709850039333105e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.586803778999979,12.611567379000007
14,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,5.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,43,-292.8765482599847,True,-292.87654825827485,-1.709850039333105e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.74655093499996,12.791203034999967
15,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,5.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,44,-292.8765482599847,True,-292.87654825827485,-1.709850039333105e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.699462163000021,12.747199962999957
16,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,40,-585.7531145198736,True,-585.7531145182802,-1.5934347175061703e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.63530477400002,12.660715573999937
17,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,41,-585.7531145198736,True,-585.7531145182802,-1.5934347175061703e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.151132215000075,12.178003714999932
18,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,42,-585.7531145198736,True,-585.7531145182802,-1.5934347175061703e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.125510258999952,12.151300158000026
19,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,43,-585.7531145198736,True,-585.7531145182802,-1.5934347175061703e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.359444542999995,12.385737242999994
20,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,44,-585.7531145198736,True,-585.7531145182802,-1.5934347175061703e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.12692116200003,12.154061162000062
21,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,20.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,40,-1171.5062470398843,True,-1171.5062470384073,-1.4770193956792355e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.734731282000098,12.760275082000021
22,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,20.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,41,-1171.5062470398843,True,-1171.5062470384073,-1.4770193956792355e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,15.178160179000088,15.209861679000028
23,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,20.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,42,-1171.5062470398843,True,-1171.5062470384073,-1.4770193956792355e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,37.993503419000035,38.02282441900002
24,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,20.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,43,-1171.5062470398843,True,-1171.5062470384073,-1.4770193956792355e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,15.437297683999986,15.461692883999945
25,ok,70,all,273,273,37128,120.0,37500.0,2e-06,0.65,0.0,20.0,nmi,0.8059223283211441,0.9013910064424618,69,204,0,0.8489175833621694,0.8502330314666623,,average,openjij-sqa,44,-1171.5062470398843,True,-1171.5062470384073,-1.4770193956792355e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,20.60817418399995,20.63389418400004
