case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
36,ok,openjij-sqa,100.0,100.0,60.0,20.0,default,40,-116.0,-300.0,184.0,True,0,0,10,5,57,6.299997538999378,6.3030214390000765
37,ok,openjij-sqa,100.0,100.0,60.0,25.0,default,40,-245.0,-375.0,130.0,True,0,0,7,8,17,6.021463924998898,6.0241326249997655
38,ok,openjij-sqa,100.0,100.0,60.0,30.0,default,40,-324.0,-450.0,126.0,True,0,0,10,5,48,5.9007089200003975,5.903498319999926
39,ok,openjij-sqa,100.0,100.0,60.0,35.0,default,40,-346.0,-525.0,179.0,True,0,0,6,9,35,6.649511222000001,6.653314322000369
40,ok,openjij-sqa,100.0,100.0,60.0,40.0,default,40,-412.0,-600.0,188.0,True,0,0,7,8,30,6.0776561090006,6.080206108999846
41,ok,openjij-sqa,150.0,150.0,30.0,20.0,default,40,-48.0,-300.0,252.0,True,0,0,1,14,25,5.947570504999021,5.950305205000404
42,ok,openjij-sqa,150.0,150.0,30.0,25.0,default,40,-160.0,-375.0,215.0,True,0,0,4,11,31,5.898613635999936,5.902017835998777
43,ok,openjij-sqa,150.0,150.0,30.0,30.0,default,40,-228.0,-450.0,222.0,True,0,0,5,10,42,6.021541910000451,6.025022110001373
44,ok,openjij-sqa,150.0,150.0,30.0,35.0,default,40,-216.0,-525.0,309.0,True,0,0,6,9,48,5.9615188099996885,5.964665009998498
45,ok,openjij-sqa,150.0,150.0,30.0,40.0,default,40,-374.0,-600.0,226.0,True,0,0,11,4,22,5.892872599999464,5.895595399999365
46,ok,openjij-sqa,150.0,150.0,40.0,20.0,default,40,12.0,-300.0,312.0,True,0,0,2,13,48,5.955126722999921,5.957696723000481
47,ok,openjij-sqa,150.0,150.0,40.0,25.0,default,40,10.0,-375.0,385.0,True,0,0,3,12,76,6.13694706699971,6.13973016700038
48,ok,openjij-sqa,150.0,150.0,40.0,30.0,default,40,-350.0,-450.0,100.0,True,0,0,11,4,22,6.161785255999348,6.16437885599953
49,ok,openjij-sqa,150.0,150.0,40.0,35.0,default,40,-230.0,-525.0,295.0,True,0,0,3,12,23,6.021357681000154,6.023932981001053
50,ok,openjij-sqa,150.0,150.0,40.0,40.0,default,40,-288.0,-600.0,312.0,True,0,0,7,8,75,5.994424565000372,5.996962365001309
51,ok,openjij-sqa,150.0,150.0,50.0,20.0,default,40,-100.0,-300.0,200.0,True,0,0,5,10,15,6.0354816439994465,6.038099643999885
52,ok,openjij-sqa,150.0,150.0,50.0,25.0,default,40,-85.0,-375.0,290.0,True,0,0,4,11,52,6.120421809000618,6.122939408998718
53,ok,openjij-sqa,150.0,150.0,50.0,30.0,default,40,-206.0,-450.0,244.0,True,0,0,5,10,42,5.99174085499908,5.994262655000057
54,ok,openjij-sqa,150.0,150.0,50.0,35.0,default,40,-271.0,-525.0,254.0,True,0,0,7,8,35,5.957977934000155,5.960695133999252
55,ok,openjij-sqa,150.0,150.0,50.0,40.0,default,40,-364.0,-600.0,236.0,True,0,0,8,7,35,6.181706432000283,6.184265931999107
56,ok,openjij-sqa,150.0,150.0,60.0,20.0,default,40,-16.0,-300.0,284.0,True,0,0,7,8,55,6.018873361999795,6.037189561999185
57,ok,openjij-sqa,150.0,150.0,60.0,25.0,default,40,-70.0,-375.0,305.0,True,0,0,5,10,23,6.041854702998535,6.04446240300058
58,ok,openjij-sqa,150.0,150.0,60.0,30.0,default,40,-192.0,-450.0,258.0,True,0,0,7,8,54,6.195029780999903,6.199169481998979
59,ok,openjij-sqa,150.0,150.0,60.0,35.0,default,40,-107.0,-525.0,418.0,True,0,0,3,12,72,6.009159048000583,6.011741647998861
60,ok,openjij-sqa,150.0,150.0,60.0,40.0,default,40,-404.0,-600.0,196.0,True,0,0,9,6,30,5.898342034000962,5.900930633999451
