case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,217,100.0,120.0,20.0,40,-680.0000000002328,-680.0,-2.3283064365386963e-10,True,True,34,0,0,0,34,0,0,11.102192090000244,11.112026990998856
2,35,217,100.0,120.0,20.0,41,-680.0000000002328,-680.0,-2.3283064365386963e-10,True,True,34,0,0,0,34,0,0,8.554671515001246,8.560223915001188
3,35,217,100.0,120.0,20.0,42,-680.0000000002328,-680.0,-2.3283064365386963e-10,True,True,34,0,0,0,34,0,0,8.58025695499964,8.585803654999836
4,35,217,100.0,120.0,20.0,43,-680.0000000002328,-680.0,-2.3283064365386963e-10,True,True,34,0,0,0,34,0,0,8.560074520000853,8.566975020001337
5,35,217,100.0,120.0,20.0,44,-680.0000000002328,-680.0,-2.3283064365386963e-10,True,True,34,0,0,0,34,0,0,8.64570025699868,8.651244655999108
6,49,315,100.0,120.0,20.0,40,-787.1698113213643,-960.0,172.83018867863575,False,False,47,1,0,0,34,13,0,13.256255651000174,13.286224651999873
7,49,315,100.0,120.0,20.0,41,-818.8679245289532,-960.0,141.13207547104685,False,False,47,1,0,0,42,5,0,12.997781259999101,13.008533959999113
8,49,315,100.0,120.0,20.0,42,-816.2264150950359,-960.0,143.77358490496408,False,False,48,0,1,0,42,6,0,13.890978350000296,13.901337150000472
9,49,315,100.0,120.0,20.0,43,-832.0754716987722,-960.0,127.92452830122784,False,False,47,1,0,0,44,3,0,12.940588337000008,12.968093838000641
10,49,315,100.0,120.0,20.0,44,-821.5094339629868,-960.0,138.4905660370132,False,False,47,1,0,0,44,3,0,13.290938778000054,13.302365878000273
