genome_len,read_len,step,true_adjacent_overlap,mismatch_rate,expected_pairwise_identity,reads,pairs_scanned,min_overlap,min_identity,fft_raw_candidates,fft_raw_adjacent,fft_raw_jump,fft_raw_wrong,fft_raw_missing_adjacent,fft_raw_precision,fft_raw_recall,fft_best_candidates,fft_best_adjacent,fft_best_wrong,fft_best_missing_adjacent,fft_best_precision,fft_best_recall,fft_seconds,minimap_raw_candidates,minimap_raw_adjacent,minimap_raw_jump,minimap_raw_wrong,minimap_raw_missing_adjacent,minimap_raw_precision,minimap_raw_recall,minimap_best_candidates,minimap_best_adjacent,minimap_best_wrong,minimap_best_missing_adjacent,minimap_best_precision,minimap_best_recall,minimap_seconds,speedup_minimap_vs_fft,raw_common_edges,raw_only_fft,raw_only_minimap,best_common_edges,best_only_fft,best_only_minimap,minimap_status
12000,1500,250,1250,0.03,0.9411999999999999,43,1806,400,0.9,162,42,120,0,0,1.0,1.0,42,42,0,0,1.0,1.0,1.9357402000000015,160,42,118,0,0,1.0,1.0,42,42,0,0,1.0,1.0,0.014730899999999991,131.4067843784156,160,2,0,42,0,0,ok
12000,1500,250,1250,0.06,0.8847999999999999,43,1806,400,0.9,14,4,10,0,38,1.0,0.09523809523809523,13,4,0,38,1.0,0.09523809523809523,1.9287168999999977,120,31,89,0,11,1.0,0.7380952380952381,40,31,0,11,1.0,0.7380952380952381,0.011883600000000882,162.30072536940443,14,0,106,5,8,35,ok
18000,1500,1000,500,0.0,1.0,17,272,400,0.9,16,16,0,0,0,1.0,1.0,16,16,0,0,1.0,1.0,0.2912190999999993,16,16,0,0,0,1.0,1.0,16,16,0,0,1.0,1.0,0.005897900000000789,49.37674426490113,16,0,0,16,0,0,ok
18000,1500,1000,500,0.03,0.9411999999999999,17,272,400,0.9,16,16,0,0,0,1.0,1.0,16,16,0,0,1.0,1.0,0.2974979510000004,16,16,0,0,0,1.0,1.0,16,16,0,0,1.0,1.0,0.007731868000000475,38.47685332961998,16,0,0,16,0,0,ok
18000,1500,1000,500,0.06,0.8847999999999999,17,272,400,0.9,4,4,0,0,12,1.0,0.25,4,4,0,12,1.0,0.25,0.2964748240000006,10,10,0,0,6,1.0,0.625,10,10,0,6,1.0,0.625,0.005853199000000586,50.65175880744374,3,1,7,3,1,7,ok
18000,1500,500,1000,0.0,1.0,34,1122,400,0.9,65,33,32,0,0,1.0,1.0,33,33,0,0,1.0,1.0,1.2041447080000012,65,33,32,0,0,1.0,1.0,33,33,0,0,1.0,1.0,0.010944995999999207,110.01782988318026,65,0,0,33,0,0,ok
18000,1500,500,1000,0.03,0.9411999999999999,34,1122,400,0.9,65,33,32,0,0,1.0,1.0,33,33,0,0,1.0,1.0,1.2153970160000007,64,32,32,0,1,1.0,0.9696969696969697,33,32,0,1,1.0,0.9696969696969697,0.00960099599999964,126.5907220459259,64,1,0,32,1,1,ok
18000,1500,500,1000,0.06,0.8847999999999999,34,1122,400,0.9,2,1,1,0,32,1.0,0.030303030303030304,2,1,0,32,1.0,0.030303030303030304,1.2011643200000002,39,23,16,0,10,1.0,0.696969696969697,27,23,0,10,1.0,0.696969696969697,0.009418996000000845,127.52572779518033,2,0,37,1,1,26,ok
18000,1500,250,1250,0.0,1.0,67,4422,400,0.9,258,66,192,0,0,1.0,1.0,66,66,0,0,1.0,1.0,4.6877597569999985,258,66,192,0,0,1.0,1.0,66,66,0,0,1.0,1.0,0.029542434999996203,158.67885490822272,258,0,0,66,0,0,ok
18000,1500,250,1250,0.03,0.9411999999999999,67,4422,400,0.9,258,66,192,0,0,1.0,1.0,66,66,0,0,1.0,1.0,4.847477794,252,64,188,0,2,1.0,0.9696969696969697,66,64,0,2,1.0,0.9696969696969697,0.020723398000001225,233.9132701113839,252,6,0,64,2,2,ok
18000,1500,250,1250,0.06,0.8847999999999999,67,4422,400,0.9,28,3,25,0,63,1.0,0.045454545454545456,21,3,0,63,1.0,0.045454545454545456,4.589635498,167,48,119,0,18,1.0,0.7272727272727273,63,48,0,18,1.0,0.7272727272727273,0.015939799999998172,287.93557623060053,23,5,144,4,17,59,ok
