genome_len,read_len,step,true_adjacent_overlap,mismatch_rate,expected_pairwise_identity,reads,pairs_scanned,min_overlap,min_identity,fft_raw_candidates,fft_raw_adjacent,fft_raw_jump,fft_raw_wrong,fft_raw_missing_adjacent,fft_raw_precision,fft_raw_recall,fft_best_candidates,fft_best_adjacent,fft_best_wrong,fft_best_missing_adjacent,fft_best_precision,fft_best_recall,fft_seconds,minimap_raw_candidates,minimap_raw_adjacent,minimap_raw_jump,minimap_raw_wrong,minimap_raw_missing_adjacent,minimap_raw_precision,minimap_raw_recall,minimap_best_candidates,minimap_best_adjacent,minimap_best_wrong,minimap_best_missing_adjacent,minimap_best_precision,minimap_best_recall,minimap_seconds,speedup_minimap_vs_fft,raw_common_edges,raw_only_fft,raw_only_minimap,best_common_edges,best_only_fft,best_only_minimap,minimap_status
6000,1500,1000,500,0.06,0.8847999999999999,5,20,400,0.85,4,4,0,0,0,1.0,1.0,4,4,0,0,1.0,1.0,0.039984105000002046,3,3,0,0,1,1.0,0.75,3,3,0,1,1.0,0.75,0.004598400999995533,8.69521927296921,3,1,0,3,1,0,ok
6000,1500,500,1000,0.06,0.8847999999999999,10,90,400,0.85,17,9,8,0,0,1.0,1.0,9,9,0,0,1.0,1.0,0.10767731199999986,10,6,4,0,3,1.0,0.6666666666666666,7,6,0,3,1.0,0.6666666666666666,0.005723300999996184,18.81384746321601,10,7,0,6,3,1,ok
6000,1500,250,1250,0.06,0.8847999999999999,19,342,400,0.85,66,18,48,0,0,1.0,1.0,18,18,0,0,1.0,1.0,0.39447203299999956,48,14,34,0,4,1.0,0.7777777777777778,17,14,0,4,1.0,0.7777777777777778,0.007678900999998461,51.370897085413475,48,18,0,14,4,3,ok
12000,1500,1000,500,0.06,0.8847999999999999,11,110,400,0.85,10,10,0,0,0,1.0,1.0,10,10,0,0,1.0,1.0,0.12383431100000308,9,9,0,0,1,1.0,0.9,9,9,0,1,1.0,0.9,0.005510499999999752,22.47242736593933,9,1,0,9,1,0,ok
12000,1500,500,1000,0.06,0.8847999999999999,22,462,400,0.85,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.5358473439999969,27,15,12,0,6,1.0,0.7142857142857143,19,15,0,6,1.0,0.7142857142857143,0.007232901000001846,74.08470598448122,27,14,0,15,6,4,ok
12000,1500,250,1250,0.06,0.8847999999999999,43,1806,400,0.85,162,42,120,0,0,1.0,1.0,42,42,0,0,1.0,1.0,1.960174863000006,120,31,89,0,11,1.0,0.7380952380952381,40,31,0,11,1.0,0.7380952380952381,0.012023701000003939,163.02591548137832,120,42,0,31,11,9,ok
18000,1500,1000,500,0.06,0.8847999999999999,17,272,400,0.85,16,16,0,0,0,1.0,1.0,16,16,0,0,1.0,1.0,0.28452642300000264,10,10,0,0,6,1.0,0.625,10,10,0,6,1.0,0.625,0.005771701000000462,49.29680574235912,10,6,0,10,6,0,ok
18000,1500,500,1000,0.06,0.8847999999999999,34,1122,400,0.85,64,33,31,0,0,1.0,1.0,33,33,0,0,1.0,1.0,1.171823996999997,39,23,16,0,10,1.0,0.696969696969697,27,23,0,10,1.0,0.696969696969697,0.009313400999999999,125.82127592272653,39,25,0,23,10,4,ok
18000,1500,250,1250,0.06,0.8847999999999999,67,4422,400,0.85,257,66,191,0,0,1.0,1.0,66,66,0,0,1.0,1.0,4.638661756999994,167,48,119,0,18,1.0,0.7272727272727273,63,48,0,18,1.0,0.7272727272727273,0.016408498999993526,282.6987256422312,167,90,0,48,18,15,ok
