genome_len,read_len,step,true_adjacent_overlap,mismatch_rate,expected_pairwise_identity,reads,pairs_scanned,min_overlap,min_identity,fft_raw_candidates,fft_raw_adjacent,fft_raw_jump,fft_raw_wrong,fft_raw_missing_adjacent,fft_raw_precision,fft_raw_recall,fft_best_candidates,fft_best_adjacent,fft_best_wrong,fft_best_missing_adjacent,fft_best_precision,fft_best_recall,fft_seconds,c_fft_raw_candidates,c_fft_raw_adjacent,c_fft_raw_jump,c_fft_raw_wrong,c_fft_raw_missing_adjacent,c_fft_raw_precision,c_fft_raw_recall,c_fft_best_candidates,c_fft_best_adjacent,c_fft_best_wrong,c_fft_best_missing_adjacent,c_fft_best_precision,c_fft_best_recall,c_fft_seconds,speedup_python_fft_vs_c_fft,c_raw_common_edges,c_raw_only_python_fft,c_raw_only_c_fft,c_best_common_edges,c_best_only_python_fft,c_best_only_c_fft,c_fft_status,minimap_raw_candidates,minimap_raw_adjacent,minimap_raw_jump,minimap_raw_wrong,minimap_raw_missing_adjacent,minimap_raw_precision,minimap_raw_recall,minimap_best_candidates,minimap_best_adjacent,minimap_best_wrong,minimap_best_missing_adjacent,minimap_best_precision,minimap_best_recall,minimap_seconds,speedup_minimap_vs_fft,raw_common_edges,raw_only_fft,raw_only_minimap,best_common_edges,best_only_fft,best_only_minimap,minimap_status
12000,1500,1000,500,0.03,0.9411999999999999,11,110,400,0.9,10,10,0,0,0,1.0,1.0,10,10,0,0,1.0,1.0,0.11771419999999999,10,10,0,0,0,1.0,1.0,10,10,0,0,1.0,1.0,0.0424659,2.771969980619744,10,0,0,10,0,0,ok,8,8,0,0,2,1.0,0.8,8,8,0,2,1.0,0.8,0.004564599999998364,25.78850282610572,8,2,0,8,2,0,ok
12000,1500,1000,500,0.06,0.8847999999999999,11,110,400,0.9,1,1,0,0,9,1.0,0.1,1,1,0,9,1.0,0.1,0.11925180000000069,1,1,0,0,9,1.0,0.1,1,1,0,9,1.0,0.1,0.0432294,2.7585809657316704,1,0,0,1,0,0,ok,9,9,0,0,1,1.0,0.9,9,9,0,1,1.0,0.9,0.004527899999999363,26.337109918509125,1,0,8,1,0,8,ok
12000,1500,500,1000,0.0,1.0,22,462,400,0.9,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.4933770000000006,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.1661294,2.9698355619174004,41,0,0,21,0,0,ok,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.0073107999999990625,67.4860480385271,41,0,0,21,0,0,ok
12000,1500,500,1000,0.03,0.9411999999999999,22,462,400,0.9,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.49842099999999867,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.1677237,2.971679017336242,41,0,0,21,0,0,ok,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.007932799999998963,62.83040036305766,41,0,0,21,0,0,ok
12000,1500,500,1000,0.06,0.8847999999999999,22,462,400,0.9,1,0,1,0,21,1.0,0.0,1,0,0,21,1.0,0.0,0.5057265999999991,1,0,1,0,21,1.0,0.0,1,0,0,21,1.0,0.0,0.163893,3.0857120194273038,1,0,0,1,0,0,ok,27,15,12,0,6,1.0,0.7142857142857143,19,15,0,6,1.0,0.7142857142857143,0.007306599999999719,69.21503845838264,1,0,26,0,1,19,ok
12000,1500,250,1250,0.0,1.0,43,1806,400,0.9,162,42,120,0,0,1.0,1.0,42,42,0,0,1.0,1.0,1.911829700000002,162,42,120,0,0,1.0,1.0,42,42,0,0,1.0,1.0,0.6094563,3.136943042511829,162,0,0,42,0,0,ok,162,42,120,0,0,1.0,1.0,42,42,0,0,1.0,1.0,0.02205849999999998,86.67088423963568,162,0,0,42,0,0,ok
12000,1500,250,1250,0.03,0.9411999999999999,43,1806,400,0.9,162,42,120,0,0,1.0,1.0,42,42,0,0,1.0,1.0,1.9455526000000027,162,42,120,0,0,1.0,1.0,42,42,0,0,1.0,1.0,0.6054894,3.2131901896218213,162,0,0,42,0,0,ok,160,42,118,0,0,1.0,1.0,42,42,0,0,1.0,1.0,0.014134500000000827,137.6456613251186,160,2,0,42,0,0,ok
12000,1500,250,1250,0.06,0.8847999999999999,43,1806,400,0.9,14,4,10,0,38,1.0,0.09523809523809523,13,4,0,38,1.0,0.09523809523809523,1.9199559000000015,14,4,10,0,38,1.0,0.09523809523809523,13,4,0,38,1.0,0.09523809523809523,0.6006955,3.19622154652399,14,0,0,13,0,0,ok,120,31,89,0,11,1.0,0.7380952380952381,40,31,0,11,1.0,0.7380952380952381,0.01133039999999852,169.45173162467808,14,0,106,5,8,35,ok
18000,1500,1000,500,0.0,1.0,17,272,400,0.9,16,16,0,0,0,1.0,1.0,16,16,0,0,1.0,1.0,0.28377128600000034,16,16,0,0,0,1.0,1.0,16,16,0,0,1.0,1.0,0.096422886,2.942986854801259,16,0,0,16,0,0,ok,16,16,0,0,0,1.0,1.0,16,16,0,0,1.0,1.0,0.005826596999998657,48.702748104951446,16,0,0,16,0,0,ok
18000,1500,1000,500,0.03,0.9411999999999999,17,272,400,0.9,16,16,0,0,0,1.0,1.0,16,16,0,0,1.0,1.0,0.2806178100000025,16,16,0,0,0,1.0,1.0,16,16,0,0,1.0,1.0,0.096660381,2.903131635700903,16,0,0,16,0,0,ok,16,16,0,0,0,1.0,1.0,16,16,0,0,1.0,1.0,0.005592499999998779,50.17752525705208,16,0,0,16,0,0,ok
18000,1500,1000,500,0.06,0.8847999999999999,17,272,400,0.9,4,4,0,0,12,1.0,0.25,4,4,0,12,1.0,0.25,0.28540982499999856,4,4,0,0,12,1.0,0.25,4,4,0,12,1.0,0.25,0.096446036,2.9592696272141095,4,0,0,4,0,0,ok,10,10,0,0,6,1.0,0.625,10,10,0,6,1.0,0.625,0.005893896999999981,48.424637383381395,3,1,7,3,1,7,ok
18000,1500,500,1000,0.0,1.0,34,1122,400,0.9,65,33,32,0,0,1.0,1.0,33,33,0,0,1.0,1.0,1.1641500049999998,65,33,32,0,0,1.0,1.0,33,33,0,0,1.0,1.0,0.375868738,3.0972248748178677,65,0,0,33,0,0,ok,65,33,32,0,0,1.0,1.0,33,33,0,0,1.0,1.0,0.010438494999998937,111.52469824434637,65,0,0,33,0,0,ok
18000,1500,500,1000,0.03,0.9411999999999999,34,1122,400,0.9,65,33,32,0,0,1.0,1.0,33,33,0,0,1.0,1.0,1.1652187000000005,65,33,32,0,0,1.0,1.0,33,33,0,0,1.0,1.0,0.37264134,3.126917426821191,65,0,0,33,0,0,ok,64,32,32,0,1,1.0,0.9696969696969697,33,32,0,1,1.0,0.9696969696969697,0.009962394999998736,116.96170448974853,64,1,0,32,1,1,ok
18000,1500,500,1000,0.06,0.8847999999999999,34,1122,400,0.9,2,1,1,0,32,1.0,0.030303030303030304,2,1,0,32,1.0,0.030303030303030304,1.1657136989999977,2,1,1,0,32,1.0,0.030303030303030304,2,1,0,32,1.0,0.030303030303030304,0.37102154,3.141903025360732,2,0,0,2,0,0,ok,39,23,16,0,10,1.0,0.696969696969697,27,23,0,10,1.0,0.696969696969697,0.009009596000002063,129.38579032841548,2,0,37,1,1,26,ok
18000,1500,250,1250,0.0,1.0,67,4422,400,0.9,258,66,192,0,0,1.0,1.0,66,66,0,0,1.0,1.0,4.674777549999998,258,66,192,0,0,1.0,1.0,66,66,0,0,1.0,1.0,1.434797699,3.2581440249438245,258,0,0,66,0,0,ok,258,66,192,0,0,1.0,1.0,66,66,0,0,1.0,1.0,0.026476825999999676,176.56110101717084,258,0,0,66,0,0,ok
18000,1500,250,1250,0.03,0.9411999999999999,67,4422,400,0.9,258,66,192,0,0,1.0,1.0,66,66,0,0,1.0,1.0,4.674327974999997,258,66,192,0,0,1.0,1.0,66,66,0,0,1.0,1.0,1.481644592,3.154824038260315,258,0,0,66,0,0,ok,252,64,188,0,2,1.0,0.9696969696969697,66,64,0,2,1.0,0.9696969696969697,0.020222316000001683,231.1470147632748,252,6,0,64,2,2,ok
18000,1500,250,1250,0.06,0.8847999999999999,67,4422,400,0.9,28,3,25,0,63,1.0,0.045454545454545456,21,3,0,63,1.0,0.045454545454545456,4.592610995000001,28,3,25,0,63,1.0,0.045454545454545456,21,3,0,63,1.0,0.045454545454545456,1.447533737,3.172714305449035,28,0,0,21,0,0,ok,167,48,119,0,18,1.0,0.7272727272727273,63,48,0,18,1.0,0.7272727272727273,0.0172372999999979,266.43447610707943,23,5,144,4,17,59,ok
